dn	ft	fn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	ch_id6	ch_id7	ch_id8	ch_id9	cl_lo	cl_hi	lang	key1	key2	key3	key4	ft	filetype	url	
Disagreement At the Office	jpg	Disagreement_At_the_Office.jpeg	5SS03.03									5	8	both	Social Studies	Issues	Conflict	Other Conflict	JPG	jpg	https://images.pexels.com/photos/7640438/pexels-photo-7640438.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Police Catching Thief	jpg	Police_Catching_Thief.jpeg	5SS04.03	5SS04.04								5	10	both	Social Studies	Issues	Solutions		JPG	jpg	https://images.pexels.com/photos/7715089/pexels-photo-7715089.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Digital Addiction	jpg	Digital_Addiction.jpeg	5SS02.06									5	10	both	Social Studies	Issues	Other Issues	Addiction	JPG	jpg	https://images.pexels.com/photos/8088443/pexels-photo-8088443.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Disagreement Between Couple	jpg	Disagreement_Between_Couple.jpg	5SS03.03									5	8	both	Social Studies	Issues	Conflict	Other Conflict	JPG	jpg	https://images.pexels.com/photos/8560842/pexels-photo-8560842.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	 
Scout Activities	jpg	Scout_Activities.jpg	5SS04.04									5	8	both	Social Studies	Community	Social Organization	Non-Profits	JPG	jpg	https://images.stockcake.com/public/e/6/5/e65a8e6d-789e-4174-bc2d-7253c4025897/scout-leader-teaching-stockcake.jpg	 
Kids Playing Basketball	jpg	Kids_Playing_Basketball.jpeg	5SS02.06									5	8	both	Social Studies	Community	Sports	Basketball	JPG	jpg	https://images.unsplash.com/photo-1518614368389-5160c0b0de72?q=80&w=2900&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D	 
Online news resources	image	Online_news_resources.jpg	5N02									4	9	both	Social Studies	Community	Education	Other Education	JPG	image	https://pixabay.com/illustrations/education-online-learning-5578742/	 
Scam	image	Scam.jpg	5N02									5	9	both	Social Studies	Issues	Other Issues		JPG	image	https://pixabay.com/illustrations/fraud-hacker-phishing-scam-7065116/	 
Junk Food Effects	image	Junk_Food_Effects.jpg	4H03	5H03								3	8	both	Science	Medicine	Diseases & Injury	Other Disease	JPG	image	https://pixabay.com/illustrations/woman-stomach-ache-food-hunger-6121897/	 
Smoking Under Peer Pressure	image	Smoking_Under_Peer_Pressure.jpg	4H04									4	7	both	Science	Medicine	Diseases & Injury	Smoking	JPG	image	https://pixabay.com/photos/smoking-celebration-smoke-party-64925/	 
Unhealthy Eating Habit	image	Unhealthy_Eating_Habit.png	5H03	4H03	6H03							4	12	both	Science	Medicine	Diseases & Injury	Other Disease	JPG	image	https://pixabay.com/vectors/fat-woman-big-belly-waist-8079191/	 
Heart Pain	image	Heart_Pain.jpeg	5H03									4	12	both	Science	Medicine	Diseases & Injury	Stroke	JPG	image	https://pixabay.com/vectors/heart-pain-illness-health-disease-7036015/	 
Tape Recorder	image	Tape_Recorder.jpg	5N02									4	8	both	Social Studies	Community	Everyday Life	Possessions	JPG	image	https://unsplash.com/photos/vintage-radio-and-cassette-player-on-yellow-background-flat-lay-top-view-retro-technology-JjH9KDvl27E	 
Anti Smoking Poster	image	Anti_Smoking_Poster.jpg	5SS04.02									5	9	en	Social Studies	Issues	Solutions		JPG	image	https://upload.wikimedia.org/wikipedia/commons/5/54/A_doctor_with_a_stethoscope_rejecting_the_offer_of_a_Wellcome_L0042090.jpg	 
Motiram Bhatta	image	Motiram_Bhatta.jpg	5SS02.08									4	10	both	Social Studies	History	Nepal	Famous Persons	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Yubakabi_Motiram_Bhatta.jpg/640px-Yubakabi_Motiram_Bhatta.jpg	 
Jatra Managed by Guthi	image	Jatra_Managed_by_Guthi.jpg	5SS03.02									5	8	both	Social Studies	Community	Social Organization	Mutual Help	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Rato_Machindranath.jpg/762px-Rato_Machindranath.jpg?20140518092533	 
Nagarkot	image	Nagarkot.jpg	5SS02.06									5	10	both	Social Studies	Geography	Asia	Nepal	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Nagarkot_-3009_03.jpg/640px-Nagarkot_-3009_03.jpg	 
Thermometer	image	Thermometer.jpg	5S01									3	8	both	Science	Physics	Other Physics		JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Termômetros_-_mercúrio_e_infravervelho_%28thermometers%29.jpg/640px-Termômetros_-_mercúrio_e_infravervelho_%28thermometers%29.jpg	 
Ghyampe Dada	image	Ghyampe_Dada.jpg	5SS02.06									5	10	both	Social Studies	Geography	Asia	Nepal	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Ghyampe_dada.jpg/640px-Ghyampe_dada.jpg	 
Effects of Tobacco Smoking	image	Effects_of_Tobacco_Smoking.jpg	5SS04.02									5	9	en	Science	Medicine	Disease & Injury	Other Diseasae	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Adverse_effects_of_tobacco_smoking.svg/640px-Adverse_effects_of_tobacco_smoking.svg.png	 
Doing Art	image	Doing_Art.jpg	5SS02.06									5	10	both	Social Studies	Arts	Visual Art	Painting	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/A_kid_drawing_his_school_bus.jpg/640px-A_kid_drawing_his_school_bus.jpg	 
Cement Factory	image	Cement_Factory.jpg	5SS06.02									5	10	both	Social Studies	Economy	Business	Other Business	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tokyo_Cement_Factory_in_Trincomalee.jpg/640px-Tokyo_Cement_Factory_in_Trincomalee.jpg	 
Guest House	image	Guest_House.jpg	5SS06.02									5	10	both	Social Studies	Economy	Business	Other Business	JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mustang-Ghami_Guest_House-06-2015-gje.jpg/640px-Mustang-Ghami_Guest_House-06-2015-gje.jpg	 
Cannon	image	Cannon.jpg	5SS05.02									5	10	both	Social Studies	History	Nepal		JPG	image	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Sydney_%28AU%29%2C_Hornby_Cannon_--_2019_--_2298.jpg/640px-Sydney_%28AU%29%2C_Hornby_Cannon_--_2019_--_2298.jpg	 
Toilet for Healthier Future	video	Toilet_for_Healthier_Future.mp4	4H02									3	7	en	Social Studies	Issues	Other Issues	Sanitation	MP4	video	https://vimeo.com/138752540	 
Noise Pollution	video	Noise_Pollution.mp4	5H02									4	8	both	Science	Earth	Human Impact	Pollution	MP4	video	https://vimeo.com/161398940	 
Importance of a Latrine	video	Importance_of_a_Latrine.mp4	4H02									3	7	en	Social Studies	Issues	Other Issues	Sanitation	MP4	video	https://vimeo.com/202885862	 
Ankle and Knee Injury Exercises	video	Ankle_and_Knee_Injury_Exercises.mp4	5H07									4	8	en	Science	Medicine	Healthy Living	Fitness	MP4	video	https://vimeo.com/45161111	 
Paper Weaving	video	Paper_Weaving.mp4	5H11									3	7	en	Social Studies	Arts	Visual Art	Paper	MP4	video	https://vimeo.com/485644550	 
Importance of Exercise	video	Importance_of_Exercise.mp4	5H06									4	8	en	Science	Medicine	Healthy Living	Fitness	MP4	video	https://vimeo.com/689009152	 
Preventing Pollution	video	Preventing_Pollution.mp4	5H02									4	8	en	Science	Earth	Human Impact	Pollution	MP4	video	https://vimeo.com/924696046	 
Inclusive Classroom	image	Inclusive_Classroom.jpg	5SS04.04									5	8	both	Social Studies	Issues	Solutions		JPG	image	https://www.istockphoto.com/en/photo/teacher-teaching-on-classroom-at-school-gm1899827041-554238258	 
Newspapers	image	Newspapers.jpg	5N02									4	9	both	Social Studies	Community	Education	Other Education	JPG	image	https://www.istockphoto.com/photo/newspapers-gm2152935950-573903060?utm_source=pixabay&utm_medium=affiliate&utm_campaign=SRP_image_sponsored&utm_content=https%3A%2F%2Fpixabay.com%2Fimages%2Fsearch%2Fnewspaper%2F&utm_term=newspaper	 
Measles	image	Measles.jpg	4H04									4	7	both	Science	Medicine	Diseases & Injury	Communicable	JPG	image	https://www.istockphoto.com/photo/sick-little-boy-lies-on-his-side-on-hospital-bed-with-red-rash-all-over-his-body-gm1443513506-482466051	 
Online classes	image	Online_classes.jpg	5N02									4	9	both	Social Studies	Community	Education	Other Education	JPG	image	https://www.istockphoto.com/photo/unrecognizable-woman-wears-headphones-while-attending-meeting-with-co-workers-gm1350649369-426670965	 
Woman Meditating on Rock	image	Woman_Meditating_on_Rock.jpg	5H09	4H09								3	10	both	Social Studies	Community	Sports	Yoga	JPG	image	https://www.pexels.com/photo/woman-meditating-on-rock-2597205/	 
Stencil Printing	video	Stencil_Printing.mp4	4H11									4	7	en	Social Studies	Arts	Visual Art	Printing	MP4	video	https://www.youtube.com/watch?v=0Go47P2b7a0	 
Reading a 24 Hour Clock	video	Reading_a_24_Hour_Clock.mp4	5M08									3	6	en	Mathematics	Measurement	Date & Time		MP4	video	https://www.youtube.com/watch?v=dVNJhu6D7WY	 
Effect of Heat on Matter	video	Effect_of_Heat_on_Matter.mp4	5S06									5	8	en	Science	Physics	Other Physics		MP4	video	https://www.youtube.com/watch?v=GgrnhHMqZDY	 
What is a Zoonotic Disease	video	What_is_a_Zoonotic_Disease.mp4	5H04									5	10	en	Science	Medicine	Diseases & Injury	Other Disease	MP4	video	https://www.youtube.com/watch?v=mgf-DP589tU	 
Nalapani war	video	Nalapani_war.mp4	5SS02.08									5	8	 np	Social Studies	History	Nepal	Famous Persons	MP4	video	https://www.youtube.com/watch?v=mOoV71B1DIg	 
Yoga Poses	video	Yoga_Poses.mp4	4H09	5H09	6H09							4	10	en	Social Studies	Community	Sports	Yoga	MP4	video	https://www.youtube.com/watch?v=p_pE8o2BAX8	 
Dandi Biyo	video	Dandi_Biyo.mp4	4H08	5H08								4	6	both	Social Studies	Community	Everyday Life	Games	MP4	video	https://www.youtube.com/watch?v=puOn1G2Us4o	 
Seven Life Processes	video	Seven_Life_Processes.mp4	5S05									5	8	en	Science	Biology	Life processes		MP4	video	https://www.youtube.com/watch?v=qOxpltZBW5Y	 
How to Avoid Electricity Hazards At Home	video	How_to_Avoid_Electricity_Hazards_At_Home.mp4	5S07									5	8	en	Science	Physics	Electricity and Electronics		MP4	video	https://www.youtube.com/watch?v=TKaDJ0Kf0NU	 
Hardware and Software	video	Hardware_and_Software.mp4	5S02									4	8	en	Science	IT	Hardware		MP4	video	https://www.youtube.com/watch?v=WDhfreJFEnM	 
Reading a 12 Hour Clock	video	Reading_a_12_Hour_Clock.mp4	5M08									3	6	en	Mathematics	Measurement	Date & Time		MP4	video	https://www.youtube.com/watch?v=wjzLpqVxhgQ	 
Process of Photosynthesis	video	Process_of_Photosynthesis.mp4	5S05									5	8	en	Science	Biology	Life processes	Nutrition	MP4	video	https://www.youtube.com/watch?v=xEF8shaU_34	 
