dn	ft	fn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	ch_id6	ch_id7	ch_id8	ch_id9	cl_lo	cl_hi	lang	key1	key2	key3	key4	ft	filetype	url	
Short 'a' and long 'A' words (with pictures)	game		1EN02.15	1EN02.16	1EN02.25							1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=60edebcd272722239d29469d&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'a' and 'o' words (with pictures)	game		1EN02.15	1EN02.16	1EN02.25	1EN02.45	1EN02.47					1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=60edebf0272722239d29469e&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'o' words	game		1EN02.45	1EN02.46	1EN02.47									en					Other	game	https://looma.website/game?id=60f1ebf16b590a2cc6ade4d9&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'i' words	game		1EN02.32	1EN02.33										en					Other	game	https://looma.website/game?id=60f1eca96b590a2cc6ade4db&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'u' words	game		1EN02.59	1EN02.60	1EN02.71									en					Other	game	https://looma.website/game?id=60f1ece86b590a2cc6ade4dd&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'a' words (concentration)	game		1EN02.15	1EN02.16	1EN02.25							1	2	en	Language	English	Grammar	Alphabet	Other	game	https://looma.website/game?id=60f734c05026d530159c6c9b&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'e' words (concentration)	game		1EN02.23	1EN02.24	1EN02.25									en					Other	game	https://looma.website/game?id=60f734f45026d530159c6c9c&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'o' words (concentration)	game		1EN02.45	1EN02.46	1EN02.47									en					Other	game	https://looma.website/game?id=60f7351b5026d530159c6c9d&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'i' words (concentration)	game		1EN02.32	1EN02.33										en					Other	game	https://looma.website/game?id=60f7353c5026d530159c6c9e&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'u' words (concentration)	game		1EN02.59	1EN02.60	1EN02.71									en					Other	game	https://looma.website/game?id=60f7355d5026d530159c6c9f&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'a' words 2	game		1EN02.15	1EN02.16	1EN02.25									en					Other	game	https://looma.website/game?id=60f73e215026d530159c6ca5&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'o' words 2	game		1EN02.45	1EN02.46	1EN02.47									en					Other	game	https://looma.website/game?id=60f73e685026d530159c6ca6&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'i' words 2	game		1EN02.32	1EN02.33										en					Other	game	https://looma.website/game?id=60f740025026d530159c6ca9&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'u' words 2	game		1EN02.59	1EN02.60	1EN02.71									en					Other	game	https://looma.website/game?id=60f740475026d530159c6caa&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'e' words	game		1EN02.23	1EN02.24	1EN02.25									en					Other	game	https://looma.website/game?id=60f740c85026d530159c6cab&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Short 'e' words 2	game		1EN02.23	1EN02.24										en					Other	game	https://looma.website/game?id=60f741235026d530159c6cac&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'b' words with pictures	game		1EN02.17	1EN02.18										en					Other	game	https://looma.website/game?id=61de0fa1c630ce4e154e8fba&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'b' picture word game	game		1EN02.17	1EN02.18								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=61de1489c630ce4e154e8fc0&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'b' spoken word game	game		1EN02.17	1EN02.18										en					Other	game	https://looma.website/game?id=61de153dc630ce4e154e8fc2&class=undefined&subject=undefined&ch_id=null&type=undefined	 
b' word spoken concentration game	game		1EN02.17	1EN02.18								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=61de179bc630ce4e154e8fc4&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Letter g words with pictures	game		1EN02.28	1EN02.29										en					Other	game	https://looma.website/game?id=62a254858f5da4bef7f791c6&class=undefined&subject=undefined&ch_id=null&type=undefined	 
Letter b first and last letter	game		1EN02.17	1EN02.18										en	Language	English	Grammar	Alphabet	Other	game	https://looma.website/game?id=62a2b925825e2c5f5a365105&class=undefined&subject=undefined&ch_id=null&type=undefined	 
"Short 'a', 'e', 'o' sort"	game		1EN02.45	1EN02.46								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62a930c56920ff29066855be&class=undefined&subject=undefined&ch_id=null&type=undefined	 
"Short 'i', 'u' sort"	game		1EN02.32	1EN02.33	1EN02.59	1EN02.60						1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62ae5f196920ff29066855d6&class=undefined&subject=undefined&ch_id=null&type=undefined	 
"Short i', 'u' sorting"	game		1EN02.32	1EN02.33	1EN02.59	1EN02.60						1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62ae5f196920ff29066855d6&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'D' spoken word game	game		1EN02.21	1EN02.22								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62e9491fe93487a91f753db9&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'H' spoken word game	game		1EN02.30	1EN02.31								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f1add67bbfd7238507a92a&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'F' spoken word game	game		1EN02.26	1EN02.27								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f1b2cc06a83f8b9b472715&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'J' spoken word game	game		1EN02.34	1EN02.35								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f1b4f906a83f8b9b472723&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'C' words with pictures	game		1EN02.19	1EN02.20								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f59cc9725c622a975003b9&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'Z' spoken word game	game		1EN02.69	1EN02.70								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f689ead9a42b5fcc6b87cb&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'C' spoken word game	game		1EN02.19	1EN02.20								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69002d9a42b5fcc6b87e3&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'C' words with pictures 2	game		1EN02.19	1EN02.20								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f6907fd9a42b5fcc6b87e6&class=undefined&subject=undefined&ch_id=null&type=undefined	 
D' words with pictures	game		1EN02.21	1EN02.22								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69276d9a42b5fcc6b87ec&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'D' words with pictures 2	game		1EN02.21	1EN02.22								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69332d9a42b5fcc6b87f2&class=undefined&subject=undefined&ch_id=null&type=undefined	 
E' spoken picture game	game		1EN02.23	1EN02.24								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69393d9a42b5fcc6b87f5&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'E' picture matching game	game		1EN02.23	1EN02.24								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69408d9a42b5fcc6b87f8&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'F' words with pictures	game		1EN02.26	1EN02.27								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69460d9a42b5fcc6b87fb&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'F' words with pictures 2	game		1EN02.26	1EN02.27								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f694e1d9a42b5fcc6b87fe&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'G' spoken matching game	game		1EN02.28	1EN02.29								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69563d9a42b5fcc6b8801&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'H' words with pictures	game		1EN02.30	1EN02.31								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f6967dd9a42b5fcc6b880c&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'H' words with pictures 2	game		1EN02.30	1EN02.31								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f696efd9a42b5fcc6b8812&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'I' spoken matching game	game		1EN02.32	1EN02.33								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69745d9a42b5fcc6b8815&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'I' picture concentration game	game		1EN02.32	1EN02.33								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f6979ed9a42b5fcc6b8818&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'I' sorting game	game		1EN02.32	1EN02.33								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69907d9a42b5fcc6b881b&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'I' spoken concentration game	game		1EN02.32	1EN02.33								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69975d9a42b5fcc6b881e&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'J' words with pictures	game		1EN02.34	1EN02.35								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f699d1d9a42b5fcc6b8821&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'J' words with pictures 2	game		1EN02.34	1EN02.35								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69a15d9a42b5fcc6b8824&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'K' spoken matching game	game		1EN02.37	1EN02.38								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69a8bd9a42b5fcc6b8827&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'K' picture matching game	game		1EN02.37	1EN02.38								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69abfd9a42b5fcc6b882a&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'K' spoken picture matching game	game		1EN02.37	1EN02.38								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69affd9a42b5fcc6b882d&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'L' words with pictures	game		1EN02.39	1EN02.40								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69b5fd9a42b5fcc6b8830&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'L' spoken word game	game		1EN02.39	1EN02.40								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69b91d9a42b5fcc6b8833&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'L' word with pictures 2	game		1EN02.39	1EN02.40								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69bc1d9a42b5fcc6b8836&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'M' picture matching game	game		1EN02.41	1EN02.42								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69c31d9a42b5fcc6b8839&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'M' picture concentration game	game		1EN02.41	1EN02.42								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69c6ad9a42b5fcc6b883c&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'M' spoken matching game	game		1EN02.41	1EN02.42								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69ca4d9a42b5fcc6b883f&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'M' spoken concentration game	game		1EN02.41	1EN02.42								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69cdcd9a42b5fcc6b8842&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'N' words with pictures	game		1EN02.43	1EN02.44								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69d2cd9a42b5fcc6b8845&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'N' words with pictures 2	game		1EN02.43	1EN02.44								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69d98d9a42b5fcc6b884b&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'O' spoken matching game	game		1EN02.45	1EN02.46								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69e05d9a42b5fcc6b884e&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'O' picture matching game	game		1EN02.45	1EN02.46								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69e38d9a42b5fcc6b8851&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'O' long and short sorting game	game		1EN02.45	1EN02.46								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69e73d9a42b5fcc6b8854&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'P' words with pictures	game		1EN02.48	1EN02.49								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69f44d9a42b5fcc6b8859&class=undefined&subject=undefined&ch_id=null&type=undefined	 
'P' spoken word game	game		1EN02.48	1EN02.49								1	2	en	Language	English	Speech	Sounds	Other	game	https://looma.website/game?id=62f69f7ed9a42b5fcc6b885c&class=undefined&subject=undefined&ch_id=null&type=undefined	 
