1      Languages
2.5.6      Pythagorean theorem
2.5.7      Shapes
2.5.8      Solids
2.5.9      Symmetry
2.5.10   People
2.5.10.1  Euclid
2.5.10.2  Pythagoras
2.6       Measurement
2.6.1      Area
2.6.2      Date & Time
2.6.3      Margin of error
2.6.4      Metric System
2.6.5      Other Measurement
2.6.6      Perimeter
2.6.7      Units
2.6.8      Volume
2.6.9      Weight
2.6.10   People
2.6.10.1  Archimedes
2.7       Numbers
2.7.1      Complex
2.7.2      Digits
2.7.3      Matrix
2.7.4      Ordinal
2.7.5      Other Numbers
2.7.6      Pi
2.7.7      Prime
2.7.8      Sets
2.7.9      Significance
2.7.10   Venn diagram
2.7.11   People
2.7.11.1  Carl Friedrich Gauss
2.8       Other Mathematics
2.8.1      Graphs
2.8.2      Riddles
2.8.3      Symbols
2.9       Trigonometry
2.9.1      Functions
2.9.2      Other Trigonometry
2.9.3      People
3       Science
3.1       Astronomy
3.1.1      Astrophysics
3.1.1.1     Big bang
3.1.1.2     Binary star
3.1.1.3     Black hole
3.1.1.4     Comet
3.1.1.5     Eclipse
3.1.1.6     Radio telescope
3.1.1.7     Red dwarf
3.1.1.8     Red giant
3.1.2      Galaxies
3.1.2.1     Andromeda
3.1.2.2     Milky Way
3.1.3      Other Astronomy
3.1.4      Solar System
3.1.4.1     Asteroid
3.1.4.2     Earth
3.1.4.3     Great red spot
3.1.4.4     Jupiter
3.1.4.5     Kuiper belt
3.1.4.6     Mars
3.1.4.7     Mercury
3.1.4.8     Meteorite
3.1.4.9     Moons
3.1.4.10  Neptune
3.1.4.11  Pluto
3.1.4.12  Saturn
3.1.4.13  Sun
3.1.4.14  Uranus
3.1.4.15  Venus
3.1.5      Space
3.1.5.1     Apollo 11
3.1.5.2     Exploration of Mars
3.1.5.3     Extraterrestrial life
3.1.5.4     International Space Station
3.1.5.5     SETI
3.1.6      Stars
3.1.6.1     Constellations
3.1.6.2     Exoplanets
3.1.6.3     Novas
3.1.6.4     Sirius
3.1.7      People
3.1.7.1     Carl Sagan
3.1.7.2     Edmond Halley
3.1.7.3     Galileo Galilei
3.1.7.4     Johannes Kepler
3.1.7.5     Max Planck
3.1.7.6     Nicholaus Copernicus
3.1.7.7     Ptolemy
3.1.7.8     Tycho Brahe
3.2       Biology
3.2.1      Animals (Zoology)?_
3.2.1.1     Amphibians
3.2.1.2     Fish
3.2.1.3     Mammals
3.2.1.4     Other
3.2.1.5     Snakes
3.2.1.6     Turtle
3.2.1.7     Whales
3.2.2      Birds (Ornithology)
3.2.2.1     Archaeopteryx
3.2.2.2     Common Cuckoo
3.2.2.3     Crow
3.2.2.4     Eagle
3.2.2.5     Migration
3.2.2.6     Other Birds
3.2.2.7     Owl
3.2.2.8     Penguin
3.2.3      Cells (Microbiology)
3.2.3.1     DNA
3.2.3.2     Membranes
3.2.3.3     Protein
3.2.3.4     Stem cell
3.2.4      Ecology
3.2.4.1     Biodiversity
3.2.4.2     Biosphere
3.2.4.3     Carnivore
3.2.4.4     Habitat
3.2.4.5     Herbivore
3.2.5      Insects
3.2.5.1     Ant
3.2.5.2     Bee
3.2.5.3     Beetle
3.2.5.4     Butterflies
3.2.5.5     Other Insects
3.2.5.6     Pollinator
3.2.5.7     Spider
3.2.5.8     Wasp
3.2.6      Organs of Animal & Plant
3.2.6.1     ear
3.2.6.2     eye
3.2.6.3     foot
3.2.6.4     hand
3.2.6.5     head
3.2.6.6     mouth
3.2.6.7     muscles
3.2.6.8     teeth
3.2.6.9     wing
3.2.6.10  tail
3.2.6.11  Other Animal organs
3.2.6.12  flower
3.2.6.13  fruit
3.2.6.14  leaves
3.2.6.15  roots
3.2.6.16  stem
3.2.6.17  Other Plant organs
3.2.7      Other Biology
3.2.7.1     Evolution
3.2.7.2     Extinction
3.2.7.3     Metabolism
3.2.7.4     Natural selection
3.2.7.5     Scientific classification
3.2.7.6     Virus
3.2.8      Paleontology
3.2.8.1     Dinosaurs
3.2.9      Plants (Botany)
3.2.9.1     Defenses
3.2.9.2     Flower
3.2.9.3     Fruit
3.2.9.4     Grain
3.2.9.5     Nitrogen fixation
3.2.9.6     Other Plants
3.2.9.7     Photosynthesis
3.2.9.8     Seed
3.2.9.9     Spice
3.2.9.10  Tree
3.2.9.11  Vegetable
3.2.10   People
3.3       Chemistry
3.3.1      Atoms and Molecules
3.3.2      Elements
3.3.2.1     Arsenic
3.3.2.2     Carbon
3.3.2.3     Gold
3.3.2.4     Hydrogen
3.3.2.5     Iodine
3.3.2.6     Iron
3.3.2.7     Lead
3.3.2.8     Nitrogen
3.3.2.9     Other Elements
3.3.2.10  Oxygen
3.3.2.11  Phosphorus
3.3.2.12  Potassium
3.3.2.13  Silver
3.3.2.14  Sulfur
3.3.2.15  Zinc
3.3.3      Inorganics
3.3.3.1     Edible Salt
3.3.3.2     Hydrochloric acid
3.3.3.3     Ozone
3.3.3.4     Potassium iodide
3.3.3.5     Sulfuric acid
3.3.4      Metal
3.3.5      Organics
3.3.5.1     Carbon dioxide
3.3.5.2     Ethanol
3.3.6      Other Chemistry
3.3.6.1     Acid, Base and Salt
3.3.7      Periodic table
3.3.8      People
3.3.8.1     Antoine Lavoisier
3.3.8.2     Dmitri Mendeleev
3.3.8.3     Linus Pauling
3.3.8.4     Michael Faraday
3.3.8.5     Robert Boyle
3.4       Earth & Environment
3.4.1      Climate
3.4.1.1     Atmosphere
3.4.1.2     Climate Change
3.4.1.3     Cloud
3.4.1.4     Drought
3.4.1.5     Greenhouse effect
3.4.1.6     Other Climate
3.4.1.7     Rain
3.4.1.8     Season
3.4.1.9     Weather
3.4.1.10  Wind
3.4.1.11  People
3.4.2      Earth History
3.4.2.1     Glaciology
3.4.2.2     Plate Tectonics
3.4.2.3     Timeline
3.4.2.4     People
3.4.3      Geology & Geophysics
3.4.3.1     Fossil Fuels
3.4.3.2     Mineralogy
3.4.3.3     Minerals
3.4.3.4     Other Geology & Geophysics
3.4.3.5     Rocks
3.4.3.6     Volcano
3.4.3.7     People
3.4.4      Human Impact
3.4.4.1     Conservation
3.4.4.2     Dead zones
3.4.4.3     Erosion
3.4.4.4     Ozone
3.4.4.5     Pollution
3.4.4.6     Soils
3.4.4.7     Waste & Recycling
3.4.4.8     People
3.4.5      Land Use
3.4.5.1     Desert
3.4.6      Oceans & Water
3.4.6.1     Flood
3.4.6.2     Fresh water
3.4.6.3     Hydrology
3.4.6.4     Oceanography
3.4.6.5     Resources
3.4.6.6     River
3.4.6.7     Seawater
3.4.7      Natural Disasters
3.4.7.1     Cyclones
3.4.7.2     Earthquakes
3.4.7.3     Famine
3.4.7.4     Fire
3.4.7.5     Floods & Sea Rise
3.4.7.6     Invasive Species
3.4.7.7     Other Natural Disasters
3.4.7.8     Plagues
3.4.7.9     Tsunami
3.4.7.10  Volcanoes
3.4.7.11  People
3.4.8      Other Earth & Environment
3.4.8.1     About
3.4.9      People
3.4.9.1     Christopher Colubus
3.4.9.2     Edmund Hillary
3.4.9.3     Ferdinand Magellan
3.4.9.4     Leif Ericson
3.4.9.5     Marco Polo
3.4.9.6     Neil Armstrong
3.4.9.7     Tenzing Norgay
3.4.9.8     Vasco da Gama
3.4.9.9     Vitus Bering
3.5       Engineering & Technology
3.5.1      Aeronautical
3.5.2      Architecture
3.5.2.1     Buildings
3.5.2.2     Styles
3.5.3      Civil
3.5.3.1     Bridge
3.5.3.2     Canal
3.5.3.3     Dam
3.5.3.4     Road
3.5.3.5     People
3.5.4      Design
3.5.4.1     Binoculars
3.5.4.2     Clock
3.5.4.3     Glasses
3.5.4.4     Microscope
3.5.4.5     Telescope
3.5.4.6     People
3.5.5      Electrical
3.5.5.1     Alternating current
3.5.5.2     Batteries
3.5.5.3     Electronics
3.5.5.4     Lightning
3.5.5.5     Radar
3.5.5.6     Radio
3.5.5.7     People
3.5.6      Energy sources
3.5.6.1     Animal
3.5.6.2     Geothermal
3.5.6.3     Hydroelectric
3.5.6.4     Nuclear
3.5.6.5     Renewable
3.5.6.6     Solar photovoltaic
3.5.6.7     Solar thermal
3.5.6.8     Tidal
3.5.6.9     Wave
3.5.6.10  Wind
3.5.7      Environmental
3.5.7.1     Corrosion
3.5.7.2     Solar power
3.5.7.3     Wind power
3.5.7.4     People
3.5.8    Mechanical
3.5.8.1     Jet engine
3.5.8.2     Machines
3.5.9      Other Engineering
3.5.9.1     Biotechnology
3.5.9.2     Separation of Mixtures
3.5.10   People
3.5.10.1  Buckminster Fuller
3.5.10.2  Christopher Wren
3.5.10.3  Guglielmo Marconi
3.5.10.4  Henry Ford
3.5.10.5  James Watt
3.5.10.6  Johannes Gutenberg
3.5.10.7  Thomas Edison
3.5.10.8  Wright brothers
3.6       Innovations
3.6.1      Necessity
3.6.2      People
3.7       IT
3.7.1      Abacus
3.7.2      Algorithm
3.7.3      Computing hardware & infrastructure
3.7.4      Cryptography
3.7.4.1     Encryption
3.7.4.2     Enigma
3.7.5      Hardware
3.7.5.1     Computer
3.7.5.2     Projector
3.7.5.3     USB
3.7.5.4     Wand
3.7.5.5     Webcam
3.7.6      Information
3.7.7      Other IT
3.7.7.1     Games
3.7.8      Software
3.7.8.1     HTML
3.7.9      Websites & Internet
3.7.9.1     Google
3.7.9.2     Internet
3.7.9.3     Open source
3.7.9.4     Wikipedia
3.7.9.5     WWW
3.7.10   People
3.7.10.1  Alan Turing
3.7.10.2  Bill Gates
3.7.10.3  Charles Babbage
3.8       Other Science
3.9       Physics
3.9.1      Electricity and Electronics
3.9.1.1     Bluetooth
3.9.1.2     Capacitance
3.9.1.3     Electric charge
3.9.1.4     Electrical resistance
3.9.1.5     Electricity
3.9.1.6     Electron
3.9.1.7     Inductance
3.9.1.8     Ohm
3.9.1.9     Semiconductor
3.9.1.10  Volt
3.9.2      Electromagnetic radiation
3.9.2.1     Heat
3.9.2.2     Light
3.9.2.3     Particle
3.9.2.4     Photon
3.9.2.5     Radio
3.9.2.6     Redshift
3.9.2.7     Ultraviolet
3.9.2.8     Wave
3.9.2.9     X rays
3.9.3      Forces
3.9.3.1     Gravity
3.9.3.2     Magnetism
3.9.3.3     Work, Energy, Power
3.9.3.4     Other Forces
3.9.4      Materials
3.9.4.1     Crystal
3.9.4.2     Ice
3.9.4.3     Gas
3.9.4.4     Liquid
3.9.4.5     Matter
3.9.4.6     Metallurgy
3.9.4.7     Mixture
3.9.4.8     Optical fiber
3.9.4.9     Pigment
3.9.4.10  Plasma
3.9.4.11  Solid
3.9.4.12  Steel
3.9.4.13  Toxins
3.9.5      Motion
3.9.5.1     Absolute zero
3.9.5.2     Acceleration
3.9.5.3     Momentum
3.9.6      Other Physics
3.9.6.1     Dark matter
3.9.6.2     Entropy
3.9.6.3     Fire
3.9.6.4     Quantum mechanics
3.9.6.5     Sound
3.9.6.6     Thermodynamics
3.9.6.7     Time
3.9.6.8     Work
3.9.7      Subatomic particles
3.9.7.1     Neutron
3.9.7.2     Proton
3.9.7.3     Quark
3.9.8      People
3.9.8.1     Albert Einstein
3.9.8.2     Isaac Newton
3.9.8.3     Marie Curie
3.9.8.4     Nils Bohr
3.9.8.5     Nikola Tesla
3.10   Medicine
3.10.1   Disease & Injury
3.10.1.1  AIDS
3.10.1.2  Achilles tendon
3.10.1.3  Albinism
3.10.1.4  Alcohol & drugs
3.10.1.5  Alzheimer’s disease
3.10.1.6  Asthma
3.10.1.7  ADHD
3.10.1.8  Autism
3.10.1.9  Cancer
3.10.1.10              Cataract
3.10.1.11              Cholera
3.10.1.12              Concussion
3.10.1.13              Diabetes
3.10.1.14              Down syndrome
3.10.1.15              Nephron
3.10.1.16              Pinworm
3.10.1.17              Rabies
3.10.1.18              Stroke
3.10.1.19              Tobacco
3.10.1.20              Tuberculosis
3.10.1.21              Ulcers
3.10.2   Healthy Living
3.10.2.1  Healthcare
3.10.2.2  Nutrition
3.10.2.3  Personal hygiene
3.10.2.4  Sports
3.10.2.5  Vaccines
3.10.2.6  Vitamin
3.10.3   Human Body
3.10.3.1  Brain
3.10.3.2  Eye
3.10.3.3  Holistic
3.10.3.4  Immune system
3.10.4   Other Medicine
3.10.5   Specialties
3.10.5.1  Family planning
3.10.5.2  General practice
3.10.5.3  Gynecology
3.10.5.4  Nursing
3.10.5.5  Ophthalmology
3.10.5.6  Pharmacology
3.10.5.7  Public Health
3.10.5.8  Surgery
3.10.6   People
3.10.6.1  Carolus Linnaeus
3.10.6.2  Charles Darwin
3.10.6.3  Francis Crick
3.10.6.4  Gregor Mendel
3.10.6.5  Hippocrates
3.10.6.6  Louis Pasteur
4       Social Studies:
4.1       Arts
4.1.1      Dance
4.1.1.1     Folk dance
4.1.2      Drama
4.1.2.1     Acting
4.1.2.2     Actors
4.1.2.3     Other Drama
4.1.2.4     Playacting
4.1.2.5     Plays
4.1.2.6     Theatre
4.1.2.7     People
4.1.3      Literature
4.1.3.1     Fiction
4.1.3.2     Folktale
4.1.3.3     Myths
4.1.3.4     Nonfiction
4.1.3.5     Novels
4.1.3.6     Other Literature
4.1.3.7     Poetry
4.1.3.8     Stories
4.1.3.9     Writers
4.1.3.10  People
4.1.4      Media
4.1.4.1     Broadcasting
4.1.4.2     Cartoons
4.1.4.3     Internet
4.1.4.4     Movies
4.1.4.5     Newspaper
4.1.4.6     Online
4.1.4.7     Other Media
4.1.4.8     Television
4.1.4.9     People
4.1.5      Music
4.1.5.1     Composers
4.1.5.2     Compositions
4.1.5.3     Instrumental music
4.1.5.4     Other Music
4.1.5.5     Performers
4.1.5.6     Vocal music
4.1.5.7     People
4.1.6      Musical Instruments
4.1.6.1     Cello
4.1.6.2     Clarinet
4.1.6.3     Flute
4.1.6.4     Guitar
4.1.6.5     Other Musical Instruments
4.1.6.6     Piano
4.1.6.7     Saxophone
4.1.6.8     Trumpet
4.1.6.9     People
4.1.7      Other Arts
4.1.8      Visual Art
4.1.8.1     Animation
4.1.8.2     Drawing
4.1.8.3     Painters
4.1.8.4     Painting
4.1.8.5     Other Visual Art
4.1.8.6     Paper
4.1.8.7     Sculptors
4.1.8.8     Sculpture
4.1.8.9     Weaving
4.1.8.10  People
4.1.9      People
4.1.9.1     Antonio Vivaldi
4.1.9.2     Claude Monet
4.1.9.3     Johann Sebastian Bach
4.1.9.4     Leonardo da Vinci
4.1.9.5     Ludwig van Beethoven
4.1.9.6     Michelangelo
4.1.9.7     Pablo Picasso
4.1.9.8     Rembrandt
4.1.9.9     Vincent van Gogh
4.1.9.10  William Shakespeare
4.1.9.11  Wolfgang Amadeus Mozart
4.2       Beliefs
4.2.1      Myths
4.2.1.1     Celtic
4.2.1.2     Greek
4.2.1.3     Maya
4.2.1.4     Norse
4.2.1.5     Roman
4.2.1.6     Slavic
4.2.1.7     Yeti
4.2.2      Other Beliefs
4.2.2.1     Agnosticism
4.2.2.2     Anarchism
4.2.2.3     Atheism
4.2.2.4     Humanism
4.2.2.5     Taoism
4.2.3      Philosophy
4.2.3.1     Ancient Greek
4.2.3.2     Ideas
4.2.3.3     Logic
4.2.3.4     Modern
4.2.3.5     Other Philosophy
4.2.3.6     Philosophers
4.2.3.7     People
4.2.4      Religion
4.2.4.1     Bahå’I Faith
4.2.4.2     Buddhism
4.2.4.3     Christianity
4.2.4.4     Hinduism
4.2.4.5     Islam
4.2.4.6     Judaism
4.2.4.7     Other Religions
4.2.4.8     Shinto
4.2.4.9     Sikhism
4.2.4.10  People
4.2.5      Religious Texts
4.2.5.1     Bible
4.2.5.2     I Ching
4.2.5.3     Mahabharata
4.2.5.4     Other Religious Texts
4.2.5.5     Qur’an
4.2.5.6     Ramayana
4.2.5.7     Tripitaka
4.2.6      People
4.2.6.1     Aristotle
4.2.6.2     Confucius
4.2.6.3     Gautama Buddha
4.2.6.4     Guru Nanak
4.2.6.5     Jesus
4.2.6.6     John Locke
4.2.6.7     Martin Luther
4.2.6.8     Muhammad
4.2.6.9     Plato
4.2.6.10  Socrates
4.2.6.11  Thomas Hobbes
4.2.6.12  Zoroaster
4.3       Community
4.3.1      Anthropology
4.3.1.1     Ethics
4.3.1.2     Family
4.3.1.3     Games
4.3.1.4     People
4.3.2      Education
4.3.2.1     Girls
4.3.2.2     Humanities
4.3.2.3     Other Education
4.3.2.4     Rural
4.3.2.5     Schools
4.3.2.6     STEM
4.3.2.7     Testing
4.3.2.8     Textbooks
4.3.2.9     Vocations
4.3.2.10  People
4.3.3      Everyday Life
4.3.3.1     Budget
4.3.3.2     Celebrations
4.3.3.3     Customs
4.3.3.4     Diversity
4.3.3.5     Food
4.3.3.6     Games
4.3.3.7     Other Culture
4.3.3.8     Recreation
4.3.3.9     Tolerance
4.3.3.10  People
4.3.4      Other Community
4.3.5      Peace
4.3.5.1     IRC
4.3.5.2     NATO
4.3.5.3     Nobel Prize
4.3.5.4     United Nations
4.3.6      Psychology
4.3.6.1     Anger
4.3.6.2     Anxiety
4.3.6.3     Behavior
4.3.6.4     Depression
4.3.6.5     Friendships
4.3.6.6     Happiness
4.3.6.7     Motivation
4.3.6.8     Other Psychology
4.3.6.9     People
4.3.7      Social Organization
4.3.7.1     Business
4.3.7.2     Community
4.3.7.3     Family
4.3.7.4     Laws
4.3.7.5     Non-Profits
4.3.7.6     Other Social Organization
4.3.7.7     Problems
4.3.7.8     Solutions
4.3.7.9     Work
4.3.7.10  People
4.3.8      Sports
4.3.8.1     Badminton
4.3.8.2     Baseball
4.3.8.3     Basketball
4.3.8.4     Cricket
4.3.8.5     Exercise
4.3.8.6     Football
4.3.8.7     Gymnastics
4.3.8.8     Other sports
4.3.8.9     Soccer
4.3.8.10  Tennis
4.3.8.11  Track
4.3.8.12  Volleyball
4.3.8.13  Yoga
4.3.8.14  People
4.3.9      People
4.4       Economy
4.4.1      Agriculture
4.4.1.1     Distribution
4.4.1.2     Farming
4.4.1.3     Fishing
4.4.1.4     Forestry
4.4.1.5     Irrigation
4.4.1.6     Poultry Production
4.4.1.7     Processing
4.4.1.8     Ranching
4.4.1.9     People
4.4.1.10  Tree crops
4.4.2      Business
4.4.2.1     Companies
4.4.2.2     Currency & Money
4.4.2.3     Economics
4.4.2.4     Energy
4.4.2.5     Studies
4.4.2.6     People
4.4.3      Finance
4.4.3.1     People
4.4.4      Law
4.4.4.1     CITES
4.4.4.2     Creative Commons
4.4.4.3     Crime
4.4.4.4     Int’l Court
4.4.4.5     People
4.4.5      Occupations
4.4.5.1     Business
4.4.5.2     Distribution
4.4.5.3     Farming
4.4.5.4     Fishing
4.4.5.5     Finance
4.4.5.6     Law
4.4.6      Other Economy
4.4.7      Tourism
4.4.8      People
4.5       Geography
4.5.1      Africa
4.5.1.1     People
4.5.1.2     Algeria
4.5.1.3       Angola
4.5.1.4     Benin
4.5.1.5     Botswana
4.5.1.6     Burkina Faso
4.5.1.7     Burundi
4.5.1.8     Cabo Verde
4.5.1.9     Cameroon
4.5.1.10  Central African Republic (CAR)
4.5.1.11  Chad
4.5.1.12  Comoros
4.5.1.13  Democratic Republic of the Congo
4.5.1.14  Republic of the Congo
4.5.1.15  Cote d'Ivoire
4.5.1.16  Djibouti
4.5.1.17  Egypt
4.5.1.18  Equatorial Guinea
4.5.1.19  Eritrea
4.5.1.20  Ethiopia
4.5.1.21  Gabon
4.5.1.22  Gambia
4.5.1.23  Ghana
4.5.1.24  Guinea
4.5.1.25  Guinea-Bissau
4.5.1.26  Kenya
4.5.1.27  Lesotho
4.5.1.28  Liberia
4.5.1.29  Libya
4.5.1.30  Madagascar
4.5.1.31  Malawi
4.5.1.32  Mali
4.5.1.33  Mauritania
4.5.1.34  Mauritius
4.5.1.35  Morocco
4.5.1.36  Mozambique
4.5.1.37  Namibia
4.5.1.38  Niger
4.5.1.39  Nigeria
4.5.1.40  Rwanda
4.5.1.41  Sao Tome and Principe
4.5.1.42  Senegal
4.5.1.43  Seychelles
4.5.1.44  Sierra Leone
4.5.1.45  Somalia
4.5.1.46  South Africa
4.5.1.47  South Sudan
4.5.1.48  Sudan
4.5.1.49  Swaziland
4.5.1.50  Tanzania
4.5.1.51  Togo
4.5.1.52  Tunisia
4.5.1.53  Uganda
4.5.1.54  Zambia
4.5.1.55  Zimbabwe
4.5.2      Antarctica
4.5.2.1     People
4.5.3      Asia
4.5.3.1     People
4.5.3.2     Afghanistan
4.5.3.3     Armenia
4.5.3.4     Azerbaijan
4.5.3.5     Bahrain
4.5.3.6     Bangladesh
4.5.3.7     Bhutan
4.5.3.8     Brunei
4.5.3.9     Cambodia
4.5.3.10  China
4.5.3.11  Cyprus
4.5.3.12  Georgia
4.5.3.13  India
4.5.3.14  Indonesia
4.5.3.15  Iran
4.5.3.16  Iraq
4.5.3.17  Israel
4.5.3.18  Japan
4.5.3.19  Jordan
4.5.3.20  Kazakhstan
4.5.3.21  Kuwait
4.5.3.22  Kyrgyzstan
4.5.3.23  Laos
4.5.3.24  Lebanon
4.5.3.25  Malaysia
4.5.3.26  Maldives
4.5.3.27  Mongolia
4.5.3.28  Myanmar (Burma)
4.5.3.29  Nepal
4.5.3.30  North Korea
4.5.3.31  Oman
4.5.3.32  Pakistan
4.5.3.33  Palestine
4.5.3.34  Philippines
4.5.3.35  Qatar
4.5.3.36  Russia
4.5.3.37  Saudi Arabia
4.5.3.38  Singapore
4.5.3.39  South Korea
4.5.3.40  Sri Lanka
4.5.3.41  Syria
4.5.3.42  Taiwan
4.5.3.43  Tajikistan
4.5.3.44  Thailand
4.5.3.45  Timor-Leste
4.5.3.46  Turkey
4.5.3.47  Turkmenistan
4.5.3.48  United Arab Emirates (UAE)
4.5.3.49  Uzbekistan
4.5.3.50  Vietnam
4.5.3.51  Yemen
4.5.4      Australia & Oceania
4.5.4.1     People
4.5.4.2     Australia
4.5.4.3     Fiji
4.5.4.4     Kiribati
4.5.4.5     Marshall Islands
4.5.4.6     Micronesia
4.5.4.7     Nauru
4.5.4.8     New Zealand
4.5.4.9     Palau
4.5.4.10  Papua New Guinea
4.5.4.11  Samoa
4.5.4.12  Solomon Islands
4.5.4.13  Tonga
4.5.4.14  Tuvalu
4.5.4.15  Vanuatu
4.5.5      Dependent Territories in N. America
4.5.5.1     People
4.5.5.2     Anguilla (UK)
4.5.5.3     Aruba (Netherlands)
4.5.5.4     Bermuda (UK)
4.5.5.5     Bonaire (Netherlands)
4.5.5.6     British Virgin Islands (UK)
4.5.5.7     Cayman Islands (UK)
4.5.5.8     Clipperton Island (France)
4.5.5.9     Curacao (Netherlands)
4.5.5.10  Greenland (Denmark)
4.5.5.11  Guadeloupe (France)
4.5.5.12  Martinique (France)
4.5.5.13  Montserrat (UK)
4.5.5.14  Navassa Island (USA)
4.5.5.15  Puerto Rico (USA)
4.5.5.16  Saba (Netherlands)
4.5.5.17  Saint Barthelemy (France)
4.5.5.18  Saint Martin (France)
4.5.5.19  Saint Pierre and Miquelon (France)
4.5.5.20  Sint Eustatius (Netherlands)
4.5.5.21  Sint Maarten (Netherlands)
4.5.5.22  Turks and Caicos Islands (UK)
4.5.5.23  US Virgin Islands (USA)
4.5.6      Dependent Territories in Oceania
4.5.6.1     People
4.5.6.2     American Samoa (USA)
4.5.6.3     Cook Islands (New Zealand)
4.5.6.4     French Polynesia (France)
4.5.6.5     Guam (USA)
4.5.6.6     New Caledonia (France)
4.5.6.7     Niue (New Zealand)
4.5.6.8     Norfolk Island (Australia)
4.5.6.9     Northern Mariana Islands (USA)
4.5.6.10  Pitcairn Islands (UK)
4.5.6.11  Tokelau (New Zealand)
4.5.6.12  Wake Island (USA)
4.5.6.13  Wallis and Futuna (France)
4.5.7      Europe
4.5.7.1     People
4.5.7.2     Austria
4.5.7.3     Belgium
4.5.7.4     Bulgaria
4.5.7.5     Czech Republic
4.5.7.6     Denmark
4.5.7.7     Finland
4.5.7.8     France
4.5.7.9     Germany
4.5.7.10  Greece
4.5.7.11  Holland
4.5.7.12  Hungary
4.5.7.13  Italy
4.5.7.14  Luxemburg
4.5.7.15  Norway
4.5.7.16  Poland
4.5.7.17  Portugal
4.5.7.18  Romania
4.5.7.19  Spain
4.5.7.20  Sweden
4.5.7.21  Switzerland
4.5.7.22  Other Europe
4.5.8      Landforms
4.5.9      Maps
4.5.9.1     Continents
4.5.9.2     Country…
4.5.9.3     Oceans
4.5.9.4     People
4.5.10   North America
4.5.10.1  People
4.5.10.2  Antigua and Barbuda
4.5.10.3  Bahamas
4.5.10.4  Barbados
4.5.10.5  Belize
4.5.10.6  Canada
4.5.10.7  Costa Rica
4.5.10.8  Cuba
4.5.10.9  Dominica
4.5.10.10              Dominican Republic
4.5.10.11              El Salvador
4.5.10.12              Grenada
4.5.10.13              Guatemala
4.5.10.14              Haiti
4.5.10.15              Honduras
4.5.10.16              Jamaica
4.5.10.17              Mexico
4.5.10.18              Nicaragua
4.5.10.19              Panama
4.5.10.20              Saint Kitts and Nevis
4.5.10.21              Saint Lucia
4.5.10.22              Saint Vincent and the Grenadines
4.5.10.23              Trinidad and Tobago
4.5.10.24              United States of America (USA)
4.5.11   Other Geography
4.5.12   South America
4.5.12.1  People
4.5.12.2  Argentina
4.5.12.3  Bolivia
4.5.12.4  Brazil
4.5.12.5  Chile
4.5.12.6  Colombia
4.5.12.7  Ecuador
4.5.12.8  Guyana
4.5.12.9  Paraguay
4.5.12.10              Peru
4.5.12.11              Suriname
4.5.12.12              Uruguay
4.5.12.13              Venezuela
4.5.13   People
4.6       Issues
4.6.1      Animal Rights
