dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft											
Ancient Civilization		7SS01.01					4	9	both	Social Studies	Geography	South America				image											
science		7SS01.01					4	9	both	Science	Innovations	Other Innovations				image											
Hindu Ceremony		7SS01.02					5	9	both	Social Studies	Community	Everyday Life	Customs			image											
Team work		7SS01.02	7SS02.01				4	8	both	Social Studies	Community	Everyday Life	Cooperation			image											
Giving Tika 2		7SS01.02					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Girls Playing Soccer		7SS01.02					5	9	both	Social Studies	Community	Sports	Soccer			image											
Active learning - cooperative brainstorming		7SS01.02					3	8	both	Social Studies	Community	Education	Other Education			image											
Friends 2		7SS01.02					2	8	both	Social Studies	Community	People				image											
Bishnu's Marriage		7SS01.02	7SS02.02				4	8	both	Social Studies	Community	Everyday Life	Customs			image											
Chhath Puja		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Old Nepal 00235		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Recreation			image											
Students and Mountains		7SS01.02					4	7	both	Social Studies	Community	Everyday Life	Other Everyday Life			image											
Jatra Managed by Guthi		7SS01.02					5	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Guthi House		7SS01.02					4	8	both	Social Studies	Community	Everyday Life	Family			image											
Aama Samuha		7SS01.02					4	10	np	Social Studies	Community	Social Organization	Non-Profits			video											
Dullav students		7SS01.02					4	8	both	Social Studies	Community	Social Organization	Schools			image											
Scout Activities		7SS01.02	7SS07.09	7SS02.09			5	8	both	Social Studies	Community	Social Organization	Non-Profits			image											
Haat Bazaar		7SS01.02	7SS06.01				3	7	both	Social Studies	Economy	Business	Market			image											
Gaijatra		7SS01.02	7SS02.07				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ashmita's Story Girls Education		7SS01.03					5	9	both	Social Studies	Community	Education	Girls			video											
Hospital		7SS01.03					4	8	both	Social Studies	Community	Social Organization	Health Care			image											
School girls		7SS01.03	7SS03.05				4	8	both	Social Studies	Community	Education	Girls			image											
Dullav school children		7SS01.03					5	8	both	Social Studies	Community	Education	Rural			image											
Dolpo school with Binod Shahi		7SS01.03					5	8	both	Social Studies	Community	Education	Rural			image											
bus		7SS01.04					3	10	both	Social Studies	Transportation	Road	Bus			image											
Smart Phone		7SS01.04	7SS09.03				4	10	both	Science	Technology	Electrical	Electronics			image											
Tablets		7SS01.04					5	8	both	Science	Technology	Electrical	Electronics			image											
Human Communication		7SS01.04					3	8	both	Science	Technology	Electrical	Electronics			image											
Compassion		7SS02.01	7SS02.07				4	8	both	Social Studies	Issues	Solutions				image											
Helping differently abled		7SS02.01					4	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Helping differently abled 2		7SS02.01					4	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Helping elders		7SS02.01					4	8	both	Social Studies	Community	Everyday Life	Family			image											
Unity		7SS02.01	7SS02.07				4	8	both	Social Studies	Community	Everyday Life	Other Everyday Life			image											
Care to senior citizens		7SS02.01					3	8	both	Social Studies	Community	Social Organization	Mutual Help			image											
Charity 2		7SS02.01					4	7	both	Social Studies	Community	Social Organization	Mutual Help			image											
Friends together		7SS02.01	7SS02.07				3	8	both	Social Studies	Issues	Solutions				image											
Charity		7SS02.01					4	8	both	Social Studies	Community	Social Organization				image											
Bartabandha		7SS02.02	7SS01.02				5	8	np	Social Studies	Community	Everyday Life	Celebrations			video											
Old Nepal 00014		7SS02.02	7SS01.02	7SS05.07			5	8	both	Social Studies	Community	Education	Other Education			image											
Tamang Wedding Blessing		7SS02.02					5	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Wedding Feast		7SS02.02					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Tamang Wedding Feast		7SS02.02					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Haydi at Bishnu's Wedding		7SS02.02					5	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
JanaiPurnima		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
RishiPanchami		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Maghe Sankranti		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Buddhist Spinning Prayer Wheel		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
Eid in Singapore		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
BaqriId		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
NativityTree		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Christianity			image											
Kukur puja		7SS02.03					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Eid in Iraq		7SS02.03					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in India		7SS02.03					4	8	both	Social Studies	Beliefs	Religions	Islam			image											
BijayaDashami		7SS02.04					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
ChhathParwa		7SS02.04	7SS02.03				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ghatasthapana		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
KrishnaJanmashtami		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Bhaitika		7SS02.04	7SS02.03				4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
SaraswatiPuja		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
Ekadashi		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Hinduism			image											
FaguPurnima		7SS02.04					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image											
Eid in Turkey		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in America		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Eid in Philippines		7SS02.04					4	9	both	Social Studies	Beliefs	Religions	Islam			image											
Gumpa		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
Boudhanath 2		7SS02.04	7SS02.03				4	9	both	Social Studies	Beliefs	Religions	Buddhism			image											
ChristmasTree		7SS02.04	7SS02.03				3	7	both	Social Studies	Beliefs	Religions	Christianity			image											
Christmas		7SS02.04	7SS02.03				2	12	both	Social Studies	Beliefs	Religions	Christianity			image											
Madal		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Bansuri		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Sarangi instrument		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image											
Cultural Dresses		7SS02.06	7SS02.07				4	10	both	Social Studies	Community	Everyday Life	Clothing			image											
Festive and Fragrant Food		7SS02.06					4	8	both	Social Studies	Community	Everyday Life	Food			image											
Newars dance		7SS02.06					4	8	both	Social Studies	Arts	Dance	Folk Dance			image											
Ubhauli Sakela Fest Observed		7SS02.06	7SS02.04	7SS02.03			4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Tharu Dance		7SS02.06	7SS07.07				4	8	both	Social Studies	Arts	Dance	Folk Dance			image											
Banepa Dancers and Himal		7SS02.06					4	10	both	Social Studies	Arts	Dance	Folk Dance			image											
A Good Meal		7SS02.06	7SS02.07				3	10	both	Science	Medicine	Healthy Living	Nutrition			image											
Nepal Flag		7SS02.07	7SS09.02				1	12	both	Social Studies	Community	Government	National			image											
Nepali National Anthem		7SS02.07					1	12	both	Language	Nepali	Form	Song			video											
cow		7SS02.07					1	8	both	Science	Biology	Zoology	Mammals			image											
Rhododendron		7SS02.07					3	9	both	Science	Biology	Plants	Flower			image											
Mount Everest		7SS02.07					5	9	both	Social Studies	Geography	Asia	Nepal			image											
Cow Tihar Festival		7SS02.07					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
TamuLhosar		7SS02.07	7SS02.06				4	9	both	Social Studies	History	Nepal	Events			image											
Household Buddha Celebration		7SS02.07	7SS05.04				5	8	both	Social Studies	Community	Everyday Life	Customs			image											
Teej		7SS02.07					4	9	both	Social Studies	Community	Everyday Life	Customs			image											
Kids Playing Traditional Instrument		7SS02.07	7SS02.09				4	8	both	Social Studies	Community	Everyday Life	Hobbies			image											
Danfe is Nepals National Bird		7SS02.07					2	10	both	Science	Biology	Birds	Other Birds			image											
Diverse people		7SS02.07					4	12	both	Social Studies	Community	Everyday Life	Diversity			image											
Bhanubhakta Acharya Biography		7SS02.08					4	8	np	Language	English	People				video											
Children in sports		7SS02.09					3	7	both	Social Studies	Community	Everyday Life	Games			image											
Active Learning - drama game		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
Active Learning - group brainstorm		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
Active Learning - group games		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
"Active Learning - think, pair, share"		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
"Active Learning - think, pair, share game"		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
active learning 15		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
active learning 19		7SS02.09					4	8	both	Social Studies	Community	Education	Other Education			image											
population		7SS03.01	7SS08.01				4	9	both	Social Studies	Economy	Other Economy	Population			image											
democracy		7SS03.02					5	10	both	Social Studies	Issues	Human Rights	Other Human Rights			image											
Election of Nepal		7SS03.02					5	10	both	Social Studies	Issues	Human Rights	Other Human Rights			image											
Voting		7SS03.02					4	8	both	Social Studies	Issues	Human Rights				image											
Human Rights		7SS03.02	7SS03.04	7SS03.05			4	8	both	Social Studies	Issues	Human Rights				image											
Women Have Fewer Rights		7SS03.05					4	10	both	Social Studies	Issues	Human Rights	Girls & Women			video											
Gender equality 2		7SS03.05	7SS04.02				4	8	both	Social Studies	Issues	Other Issues				image											
Being a Female Tabla Player		7SS03.05					5	8	en	Social Studies	Arts	Musical Instruments	Other Musical Instruments			video											
Women’s Tumbling World Championships		7SS03.05					5	9	en	Science	Medicine	Healthy Living	Sports			video											
Gender equality		7SS04.02					4	12	both	Social Studies	Issues	Other Issues				image											
Malla Dynasty Palace		"7SS05.01
"					5	8	both	Social Studies	History	Nepal	Government			image											
Licchavi Palace in Kathmandu		7SS05.01					5	9	both	Social Studies	History	Nepal	Geography			image											
Old Nepal 00071		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00058		7SS05.01	7SS05.03				4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00073		7SS05.01					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Old Nepal 00076		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
Old Nepal 00078		7SS05.01					4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00094		7SS05.01					4	10	both	Social Studies	Community	Everyday Life				image											
Patan Newar architecture		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Durbar square at Bhaktapur		7SS05.03					4	8	both	Social Studies	History	Nepal	Geography			image											
Bhaktapur Nepal 2		7SS05.03					4	8	both	Social Studies	Geography	Asia	Nepal			image											
"Nyatapola Temple, Bhaktapur"		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Getting tika from elders		7SS05.03					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image											
Deepawali		7SS05.03					4	8	both	Social Studies	Community	Everyday Life	Celebrations			image											
Gurukul		7SS05.03					4	8	both	Social Studies	Community	Education	Other Education			image											
Parma In Nepal		7SS05.03					5	9	both	Social Studies	Economy	Agriculture				image											
Patan statue and turtle		7SS05.03					3	8	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Licchavi Age Standing Buddha		7SS05.04					4	8	both	Social Studies	History	People				image											
BuddhaJayanti		7SS05.04					3	10	both	Social Studies	Beliefs	Religions	Buddhism			image											
Prithivi Narayan Shah		7SS05.06					4	8	both	Social Studies	History	People				image											
Old Nepal 00018		7SS05.07					4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00020		7SS05.07					4	9	both	Social Studies	Economy	Agriculture				image											
Old Nepal 00023		7SS05.07					4	8	both	Social Studies	Community	Social Organization	Neighborhood			image											
haystack and farm house		7SS06.01					4	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Nepal threshing		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Processing			image											
Cattle in agriculture		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Farming			image											
Tunnel Farming		7SS06.01					4	7	both	Social Studies	Economy	Agriculture	Farming			image											
Livestock		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Other Agriculture			image											
Nepalese Farmers		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Farming			image											
Old Nepal 00003		7SS06.01					4	8	both	Social Studies	Economy	Agriculture				image											
Old Nepal 00013		7SS06.01					4	8	both	Social Studies	Economy	Agriculture				image											
Old Nepal 00022		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Other Agriculture			image											
Old Nepal 00062		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Farming			image											
Old Nepal 00172		7SS06.01					4	8	both	Social Studies	Economy	Agriculture				image											
Old Nepal 00173		7SS06.01					4	8	both	Social Studies	Economy	Agriculture	Farming			image											
आधुनिक कृषी यन्त्र	आधुनिक कृषी यन्त्र	7SS06.01					5	8	both	Social Studies	Economy	Agriculture	Other Agriculture			image											
tourist		7SS06.01					4	9	both	Social Studies	Economy	Tourism				image											
Old Nepal 00067		7SS06.01					4	8	both	Social Studies	Economy	Other Economy	Local Products			image											
Old Nepal 00224		7SS06.01					4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00223		7SS06.01					4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00222		7SS06.01					4	8	both	Social Studies	Community	Social Organization	Work			image											
restaurant		7SS06.01					4	8	both	Social Studies	Economy	Business	Other Business			image											
Tourism Industry		7SS06.01					5	10	both	Social Studies	Economy	Tourism				image											
Old Nepal 00029		7SS06.03					4	8	both	Social Studies	Transportation	Other Transportation				image											
Old Nepal 00068		7SS06.03	7SS07.04				4	8	both	Social Studies	Economy	Agriculture	Fishing			image											
hen		7SS06.03					4	8	both	Social Studies	Economy	Agriculture	Poultry Production			image											
Piglet Pair		7SS06.03					4	8	both	Science	Biology	Zoology	Mammals			image											
Herd of Sheep		7SS06.03					4	8	both	Science	Biology	Zoology	Mammals			image											
bakery		7SS06.03					3	8	both	Social Studies	Community	Everyday Life	Food			image											
Curd		7SS06.03					3	7	both	Social Studies	Community	Education				image											
preparing chickens		7SS06.03					4	8	both	Social Studies	Community	Social Organization	Work			image											
Duck Goose Guineafowl Chicken Eggs		7SS06.03					4	10	both	Science	Biology	Birds				image											
Milk		7SS06.03					3	8	both	Social Studies	Community	Everyday Life	Food			image											
butter		7SS06.03					3	9	both	Social Studies	Community	Everyday Life	Food			image											
bill		7SS06.04					4	7	both	Social Studies	Community	Everyday Life	Budget			image											
Construction site		7SS06.05					4	8	both	Social Studies	Community	Social Organization	Infrastructure			image											
Road Construction		7SS06.05					5	8	both	Social Studies	Community	Social Organization	Infrastructure			image											
Zebra Crossing		7SS06.05					4	10	both	Social Studies	Community	Social Organization	Infrastructure			image											
Earth		7SS07.01					3	8	both	Science	Astronomy	Solar System	Earth			image											
Australian Landscape		7SS07.02					4	9	both	Science	Earth	Other Earth	Environment			image											
Australia River Landscape		7SS07.02					5	8	both	Science	Earth	Oceans & Water	River			image											
South American Hills		7SS07.02					5	8	both	Social Studies	Geography	Landforms				image											
Saldang hills		7SS07.02					5	8	both	Social Studies	History	Nepal	Geography			image											
Chamlang		7SS07.02					5	8	both	Social Studies	Geography	Landforms				image											
North American Snowy Mountains		7SS07.02					5	8	both	Social Studies	Geography	North America				image											
volcano		7SS07.02	7SS07.03				5	8	both	Science	Earth	Natural Disasters	Volcanoes			image											
Asia Volcano		7SS07.02	7SS07.03				5	8	both	Science	Earth	Natural Disasters	Volcanoes			image											
Farm Landscape		7SS07.02					5	8	both	Social Studies	Geography	Landforms				image											
Kavre Landscape		7SS07.02					5	8	both	Social Studies	Economy	Agriculture	Farming			image											
River Bank Erosion		7SS07.02	7SS07.03				5	8	both	Science	Earth	Human Impact	Erosion			image											
South America River		7SS07.02	7SS07.03				5	8	both	Science	Earth	Oceans & Water	River			image											
riverside		7SS07.02					4	8	both	Science	Earth	Oceans & Water	River			image											
Antarctica Ocean Landscape		7SS07.02					5	8	both	Social Studies	Geography	Antarctica				image											
Australia Ocean Landscape		7SS07.02					5	8	both	Science	Earth	Oceans & Water	Other Oceans & Water			image											
Pacific Ocean Image		7SS07.02					5	8	both	Social Studies	Geography	Maps	Oceans			image											
Indian Ocean Image		7SS07.02					5	8	both	Social Studies	Geography	Maps	Oceans			image											
April 25th Earthquake Map		7SS07.09					5	8	both	Science	Earth	Natural Disasters	Earthquakes			image											
Cracked road 2015 Nepal earthquake		7SS07.03	7SS07.09				5	8	both	Social Studies	History	Nepal	Geography			image											
Destroyed building after earthquake		7SS07.03	7SS07.09				4	8	both	Science	Earth	Natural Disasters	Earthquakes			image											
Glacier Landscape		7SS07.03					5	8	both	Science	Earth	Oceans & Water				image											
Khumbu Glacier and Icefall		7SS07.03					5	8	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
Antarctica Base		7SS07.03					5	8	both	Social Studies	Geography	Antarctica				image											
Antarctica Melting Icebergs		7SS07.03	7SS07.08				5	8	both	Social Studies	Geography	Antarctica				image											
storm		7SS07.03					5	9	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
Soil Erosion		7SS07.03	7SS07.09				5	8	both	Science	Earth	Human Impact	Erosion			image											
root		7SS07.03					5	8	both	Science	Biology	Organs Plant	Roots			image											
Old Nepal 00108		7SS07.04					5	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00008		7SS07.04					5	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00095		7SS07.04					5	8	both	Social Studies	Geography	Landforms				image											
Old Nepal 00186		7SS07.04	7SS07.06				4	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Old Nepal 00001		7SS07.04	7SS07.06				4	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Old Nepal 00059		7SS07.04	7SS05.03				4	8	both	Social Studies	Community	Social Organization	Work			image											
Old Nepal 00092		7SS07.04					4	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Old Nepal 00119		7SS07.04					4	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Old Nepal 00147		7SS07.04	7SS07.06				5	9	both	Social Studies	Geography	Asia	Nepal			image											
Mountain Climbing Nepal		7SS07.04	7SS07.05				4	8	both	Social Studies	Community	Education	Other Education			image											
Old Nepal 00150		7SS07.04	7SS07.05	7SS07.06			4	7	both	Social Studies	Community	Everyday Life	Clothing			image											
Old Nepal 00152		7SS07.04	7SS07.06				3	8	both	Social Studies	Community	Everyday Life	Clothing			image											
Old Nepal 00225		7SS07.04	7SS07.05	7SS07.06			3	9	both	Social Studies	Community	Everyday Life	Family			image											
rain		7SS07.05					4	8	both	Science	Earth	Climate	Rain			image											
Old Nepal 00174		7SS07.05					4	8	both	Social Studies	Economy	Agriculture	Farming			image											
Makalu		7SS07.06					5	8	both	Social Studies	Geography	Landforms				image											
Manaslu		7SS07.06					5	8	both	Social Studies	Geography	Asia	Nepal			image											
"Nepal, Annapurna 4059067480 l"		7SS07.06					6	9	both	Social Studies	Geography	Asia	Nepal			image											
Mount Everest		7SS07.06					5	9	both	Social Studies	Geography	Landforms				image											
Yak		7SS07.06					5	9	both	Science	Biology	Zoololgy	Mammals			image											
yak		7SS07.06					5	9	both	Science	Biology	Zoololgy	Mammals			image											
mountaineer		7SS07.06					5	9	both	Social Studies	Community	Everyday Life	Recreation			image											
Yarsagumba		7SS07.06					4	10	both	Science	Biology	Plants	Other Plants			image											
Apple Tree		7SS07.06					3	10	both	Science	Biology	Plants	Tree			image											
Hamlet on hill		7SS07.06					2	8	both	Social Studies	Community	Everyday Life	Dwellings			image											
Old Nepal 00019		7SS07.06					4	9	both	Social Studies	Economy	Agriculture				image											
Old Nepal 00197		7SS07.06					5	9	both	Social Studies	Geography	Landforms				image											
Old Nepal 00080		7SS07.06					4	9	both	Social Studies	Economy	Agriculture				image											
adventure		7SS07.06					5	9	both	Social Studies	Community	Everyday Life	Recreation			image											
Parachute		7SS07.06					5	10	both	Social Studies	Community	Sports	Other Sports			image											
Phewa Lake Sunset - Pokhara		7SS07.06					4	8	both	Social Studies	Geography	Asia	Nepal			image											
Valley Landscape		7SS07.06					4	9	both	Social Studies	Geography	Landforms				image											
Terai sunset purple		7SS07.06					5	8	both	Social Studies	Geography	Landforms				image											
rhino		7SS07.06					4	9	both	Science	Biology	Zoology	Other Animals			image											
tiger		7SS07.06					4	9	both	Science	Biology	Zoology	Terrestrial			image											
Cheetah Yawning		7SS07.06					4	9	both	Science	Biology	Zoology	Mammals			image											
Elephant		7SS07.06					4	9	both	Science	Biology	Zoology	Mammals			image											
Sagarmatha aka Everest		7SS07.07					4	9	both	Social Studies	Geography	Asia	Nepal			image											
Old Nepal 00087		7SS07.07					5	9	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Langtang Valley		7SS07.07					6	9	both	Social Studies	Geography	Asia	Nepal			image											
Langtang Lirung		7SS07.07					6	9	both	Social Studies	Geography	Asia	Nepal			image											
Elephants in Chitwan		7SS07.07					4	8	both	Science	Biology	Zoology	Mammals			image											
Picture of Pashupatinath Temple		7SS07.07					4	10	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Boudhanath and prayer flags		7SS07.07					4	9	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Swayambhu eyes		7SS07.07					4	9	both	Social Studies	Community	Everyday Life	Religious Sites			image											
"Durbar square, Patan Nepal"		7SS07.07					4	9	both	Social Studies	Community	Everyday Life	Religious Sites			image											
Approaching  Muktinath		7SS07.07					4	9	both	Social Studies	Geography	Asia	Nepal			image											
"Luri Gompa, Mustang"		7SS07.07					4	9	both	Social Studies	Geography	Asia	Nepal			image											
Karnali River		7SS07.07					5	10	both	Science	Earth	Oceans & Water	River			image											
Rara Lake aerial view		7SS07.07					5	9	both	Social Studies	Economy	Tourism				image											
Deforestation In Action		7SS07.08					4	9	both	Science	Earth	Human Impact				image											
The Disaster of Deforestation		7SS07.08					4	9	both	Science	Earth	Human Impact				image											
Air Pollution		7SS07.08					4	10	both	Science	Earth	Human Impact	Pollution			image											
Fossil Fuel Pollution		7SS07.08					4	10	both	Science	Earth	Human Impact	Pollution			image											
Pollution in Kathmandu's Bagmati River		7SS07.08					4	10	both	Science	Earth	Human Impact	Pollution			image											
Corona Virus		7SS07.09	7SS09.05				4	10	both	Science	Medicine	Disease & Injury	Communicable			image											
thunderstorm		7SS07.09					5	9	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
Avalanche on Everest		7SS07.09					6	9	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
avalanche		7SS07.09					6	9	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
Mexico Landslide		7SS07.09					4	8	both	Science	Earth	Natural Disasters	Other Natural Disasters			image											
Landslide Prevention		7SS07.09					4	10	both	Social Studies	Community	Social Organization	Infrastructure			image											
First Aid Kit		7SS07.09					3	8	both	Science	Medicine	Specialties	First Aid			image											
Booklet about Corona (Nepali)		7SS07.09	7SS09.05				5	10	np	Science	Medicine	Disease & Injury	Communicable			pdf											
The story of cholera		7SS07.09					4	8	np	Science	Medicine	Disease & Injury	Cholera			video											
Red Cross Bread Line		7SS07.09					4	9	both	Social Studies	Community	Social Organization	Non-Profits			image											
Nepal Political Map		7SS07.10					4	10	both	Social Studies	Geography	Maps	Nepal			image											
नक्सामा प्रयोग हुने सङ्केतहरू	नक्सामा प्रयोग हुने सङ्केतहरू	7SS07.10					4	7	np	Social Studies	Geography	Maps				video											
SAARC Map		7SS09.02					6	9	both	Social Studies	Geography	Asia	Nepal			map											
radio		7SS09.03					4	10	both	Science	Technology	Electrical	Electronics			image											
Television		7SS09.03					3	9	both	Science	Technology	Electrical	Electronics			image											
Camera		7SS09.03					3	8	both	Science	Technology	Electrical	Electronics			image											
Online news resources		7SS09.03					4	9	both	Social Studies	Community	Education	Other Education			image											
अनलाइन व्यापार	अनलाइन व्यापार	7SS09.03					4	6	np	Social Studies	Economy	Business	Market			image											
Nepal Map		7SS07.07	7SS07.10				4	12	both	Social Studies	Geography	Asia	Nepal			map											
How the heart pumps blood		7H01					4	12	en	Science	Medicine	Human Body	Other Human body			video											
Circulatory System and the Heart		7H01					7	9	en	Science	Medicine	Human Body	Holistic			video											
Lungs		7H01					6	9	both	Science	Biology	Organs Animal				image  											
Meet the lungs		7H01					6	9	en	Science	Medicine	Human Body	Other Human Body			video											
Toilet for Healthier Future		7H02					3	7	en	Social Studies	Issues	Other Issues	Sanitation			video											
Community Healthcare in Nepal		7H02					6	10	en	Science	Medicine	Healthy Living	Healthcare			video											
Image of Drugs		7H02					5	10	both	Science	Medicine	Disease & Injury				image  											
No Drugs		7H02					4	8	both	Social Studies	Issues	Other Issues	Addiction			image  											
Mobilize For Community Health		7H02					7	10	en	Science	Medicine	Healthy Living	Healthcare			pdf											
Friends together		7H02					3	8	both	Social Studies	Issues	Solutions				image  											
Alcohol And Other Drugs		7H02					7	10	en	Science	Medicine	Healthy Living	Healthcare		  	pdf											
6 Essential Nutrients and their Functions		7H03					6	9	en	Science	Medicine	Healthy Living	Nutrition			video											
Nutrition		7H03					6	9	both	Science	Medicine	Disease & Injury	Other Disease		   	image  											
Junk Food Effects		7H03					3	8	both	Science	Medicine	Disease & Injury	Other Disease			image  											
Junk Foods		7H03					3	8	both	Social Studies	Community	Everyday Life	Food			image  											
Healthy Food		7H03					2	10	both	Science	Medicine	Healthy Living	Nutrition			image  											
Food Security		7H03					3	8	both	Social Studies	Community	Everyday Life	Food			image  											
First Aid Kit		7H04					3	8	both	Science	Medicine	Specialties	First Aid			image  											
HIV and Aids		7H04					6	9	en	Science	Medicine	Human Body	Immune system			video											
Ankle and Knee Injury Exercises		7H06					4	8	en	Science	Medicine	Healthy Living	Fitness			video											
Importance of Exercise		7H06					4	8	en	Science	Medicine	Healthy Living	Fitness			video											
Easy Exercises For Kids		7H06					3	7	en	Social Studies	Community	Sports	Exercise			video											
Relay Race		7H07					5	8	both	Social Studies	Community	Sports	Other Sports			image  											
Relay Race Handoff		7H07 					5	8	both	Science	Medicine	Healthy Living	Sports			image  											
boating		7H07					4	8	both	Social Studies	Community	Everyday Life	Recreation			image  											
rafting		7H07					4	8	both	Social Studies	Community	Everyday Life	Recreation			image  											
Bungee		7H07					5	10	both	Social Studies	Community	Sports	Other Sports			image  											
Paragliding		7H07					5	10	both	Social Studies	Community	Sports	Other Sports			image  											
Volleyball 2		7H08					4	10	both	Social Studies	Community	Sports	Volleyball			image  											
volleyball		7H08					4	10	both	Social Studies	Community	Sports	Volleyball			image  											
Kids Playing Basketball		7H08					5	8	both	Social Studies	Community	Sports	Basketball			image  											
How to Dribble a Soccer Ball		7H08					5	10	en	Social Studies	Community	Sports	Soccer			video											
Kho Kho game		7H08					4	10	both	Social Studies	Community	Sports	Other Sports			video											
Football		7H08					6	10	en	Social Studies	Community	Sports				html											
What Yoga does to your Body and Brain		7H09	7H02				5	10	en	Social Studies	Community	Sports	Yoga			video											
Solid Shapes		7H10					4	7	en	Mathematics	Geometry	Shapes				image  											
shape		7H10					4	7	en	Mathematics	Geometry	Shapes				image  											
Painting from Shah Dynasty		7H10					5	8	both	Social Studies	Arts	Visual Art	Painting			image  											
