dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft											
"Acid, Base and Salt 2"		8S10					7	10	en	Science	Chemistry	Other Chemistry	Acid & Base & Salt	Acid_Base_and_Salt_2.mp4		video											
"Acid, Base and Salt 3"		8S10					7	10	en	Science	Chemistry	Other Chemistry	Acid & Base & Salt	Acid_Base_and_Salt_3.mp4		video											
Litmus Paper Check		8S10					8	10	en	Science	Chemistry	Other Chemistry		Litmus_Paper_Check.mp4		video											
Method of Removal of Hard Water		8S10					8	10	en	Science	Chemistry	Other Chemistry		Method_of_Removal_of_Hard_Water.mp4		video											
Prevention of Acid Rain		8S10					8	10	en	Social Studies	Community	Education	Environment	Prevention_of_Acid_Rain.mp4		video											
Minerals and Ores		8S11					6	9	en	Science	Earth	Geology	Mineralogy	Minerals_and_Ores.mp4		video											
Big Bang Theory		8S11					8	10	en	Science	Astronomy	Astrophysics	Big Bang	Big_Bang_Theory.mp4		video											
Plant Cell		8S01	8S03				7	9	both	Science	Biology	Cells	Other Cells	Plant_cell.jpg		image											
Cell		8S03					7	10	both	Science	Biology	Cells	Other Cells	Cell.jpg		image											
Lab demonstration distillation process		7S01					6	8	np	Science	Chemistry	Other Chemistry		Lab_demonstration_distillation_process.mp4		video											
Distillation Process		7S01					6	8	en	Science	Chemistry	Other Chemistry		Distillation_Process.mp4		video											
Necessity of air for combustion		7S01					6	8	en	Science	Chemistry	Other Chemistry		Necessity_of_air_for_combustion.mp4		video											
Science Experiments		7S01	6S01.01				4	7	en	Science	Innovations	Other Innovations		Science_Experiments.mp4		video											
Solar System 3D model		7S01	7S11				4	8	en	Science	Astronomy	Solar System		Solar_System_3D_model.mp4		video											
Science Project		7S01					4	8	both	Science	Innovations	Other Innovations		Science_Project.mp4		video											
Heart Science Project		7S01	6S01.01				4	8	en	Science	Innovations	Other Innovations		Heart_Science_Project.mp4		video											
How to make a science fair project		7S01					4	8	en	Science	Innovations	Other Innovations		How_to_make_a_science_fair_project.mp4		video											
Brain Model		7S01					4	8	both	Science	Innovations	Other Innovations		Brain_Model.mp4		video											
What is a Browser		7S02					7	10	en	Science	IT	Internet		What_is_a_Browser.mp4		video											
Creating Gmail and Sending Emails		7S02					7	10	en	Science	IT	Information		Creating_Gmail_and_Sending_Emails.mp4		video											
Using Excel for Basic Calculations		7S02					7	10	en	Science	IT	Software		Using_Excel_for_Basic_Calculations.mp4		video											
Computer Virus		7S02					7	10	en	Science	IT	Software		Computer_Virus.mp4		video											
About Computer Virus		7S02					7	10	en	Science	IT	Software		About_Computer_Virus.mp4		video											
Creating Graphs from Spreadsheet Data		7S02					7	10	en	Science	IT	Software		Creating_Graphs_from_Spreadsheet_Data.mp4		video											
Solar Power Plant		7S04					4	9	both	Science	Technology	Energy Sources	Solar Thermal	Solar_Power_Plant.jpg		image											
Coal Power Station		7S04					4	9	both	Science	Technology	Energy Sources		Coal_Power_Station.jpg		image											
Ways to Manage Waste		7S04					5	9	en	Science	Earth	Human Impact	Waste & Recycling	Ways_to_Manage_Waste.mp4 		video											
Depletion of Natural Resources		7S04					5	9	en	Science	Earth	Human Impact		Depletion_of_Natural_Resources.mp4		video											
"3R's Reduce, Reuse, Recycle"		7S04					5	9	en	Science	Earth	Human Impact	Waste & Recycling	3Rs_Reduce_Reuse_Recycle.mp4		video											
Transportation in Animals and Plants		7S05					6	8	en	Science	Biology	Life Processes		Transportation_in_Animals_and_Plants.mp4		video											
Human Excretory System Diagram		7S05					6	8	en	Science	Biology	Life Processes	Excretion	Human_Excretory_System_Diagram.mp4		video											
Excretion in Humans and Plants		7S05					6	8	en	Science	Biology	Life Processes	Excretion	Excretion_in_Humans_and_Plants.mp4		video											
Respiration of Organisms		7S05					6	8	en	Science	Biology	Life Processes	Respiration	Respiration_of_Organisms.mp4		video											
Respiration in Organisms Pt 3		7S05					6	8	en	Science	Biology	Life Processes	Respiration	Respiration_in_Organisms_Pt_3.mp4		video											
How the Respiratory System Works		7S05					6	8	en	Science	Biology	Life Processes	Respiration	How_the_Respiratory_System_Works.mp4		video											
Gravity		7S06					7	9	en	Science	Physics	Forces	Gravity	Gravity.jpg		image											
Space and Earth's Gravity		7S06					7	9	en	Science	Physics	Forces	Gravity	Space_and_Earth's_Gravity.mp4		video											
Gravity for Kids		7S06					7	9	en	Science	Physics	Forces	Gravity	Gravity_for_Kids.mp4		video											
Pros and Cons of Friction Experiment		7S06					7	9	en	Science	Physics	Forces	Other Forces	Pros_and_Cons_of_Friction_Experiment.mp4		video											
Types of Waves		7S07					6	9	en	Science	Physics	Electromagnetism	Wave	Types_of_Waves.mp4		video											
Sources of Energy		7S07					6	9	en	Science	Technology	Energy Sources		Sources_of_Energy.mp4		video											
Benefits of Solar Energy		7S07					6	9	en	Science	Technology	Energy Sources	Solar Thermal	Benefits_of_Solar_Energy.mp4		video											
Reflection of Light		7S07					6	9	en	Science	Physics	Electromagnetism	Light	Reflection_of_Light.mp4		video											
How to Save Energy		7S07					6	9	en	Science	Technology	Energy Sources		How_to_Save_Energy.mp4		video											
Laws of Reflections		7S07					6	9	en	Science	Physics	Electromagnetism	Light	Laws_of_Reflections.mp4		video											
Heat Explanation		7S07					6	9	en	Science	Physics	Electromagnetism	Heat	Heat_Explanation.mp4		video											
Heat and Temperature		7S07					6	9	en	Science	Physics	Electromagnetism	Heat	Heat_and_Temperature.jpg		image											
Advantages and Disadvantages of Renewable and Non-Renewable Energy		7S07					6	9	en	Science	Technology	Energy Sources		Advantages_and_Disadvantages_of_Renewable_and_Non-Renewable_Energy.mp4		video											
Heat		7S07					6	9	en	Science	Physics	Electromagnetism	Heat	Heat.mp4		video											
How Fossil Fuels Saved the World		7S07					6	9	en	Science	Earth	Geology	Fossil Fuels	How_Fossil_Fuels_Saved_the_World.mp4		video											
Periscope		7S07					6	9	both	Science	Physics	Electromagnetism	Light	Periscope.jpg		image											
Uses of a Periscope		7S07					6	9	en	Science	Physics	Electromagnetism	Light	Uses_of_a_Periscope.mp4		video											
Electric Cells		7S08					6	9	en	Science	Physics	Electricity & Electronics	Electric Charge	Electric_Cells.mp4		video											
Causes of Lightning		7S08					6	9	en	Science	Physics	Electromagnetism	Light	Causes_of_Lightning.mp4		video											
Parallel Combination		7S08					6	9	en	Science	Physics	Electricity & Electronics	Circuits	Parallel_Combination.jpg		image											
समानान्तर जडान	समानान्तर जडान	7S08					6	9	np	Science	Physics	Electricity & Electronics	Circuits		समानान्तर_जडान.jpg	image											
Series Combination		7S08					6	9	en	Science	Physics	Electricity & Electronics	Circuits	Series_Combination.jpg		image											
श्रेणीक्रम जडान	श्रेणीक्रम जडान	7S08					6	9	np	Science	Physics	Electricity & Electronics	Circuits		श्रेणीक्रम_जडान.jpg	image											
Atmospheric Electric Charge		7S08					6	9	en	Science	Physics	Electricity & Electronics	Electric Charge	Atmospheric_Electric_Charge.mp4		video											
Static Charge		7S08					6	9	en	Science	Physics	Electricity & Electronics	Static Electricity	Static_Charge.mp4		video											
Electricity and Circuits		7S08					6	9	en	Science	Physics	Electricity & Electronics	Circuits	Electricity_and_Circuits.mp4		video											
Current in an Electrical Circuit		7S08					6	9	en	Science	Physics	Electricity & Electronics	Circuits	Current_in_an_Electrical_Circuit.mp4		video											
Earthing		7S08					6	9	en	Science	Physics	Electricity & Electronics		Earthing.mp4		video											
Intro to Electricity		7S08					6	9	en	Science	Physics	Electricity & Electronics	Electricity	Intro_to_Electricity.mp4		video											
Atom and Molecule		7S09					6	9	en	Science	Chemistry 	Atoms & Molecules		Atom_and_Molecule.mp4		video											
"Mass, Volume and Density"		7S09					6	9	en	Science	Physics	Other Physics		Mass_Volume_and_Density.mp4		video											
Physical Changes		7S09					6	9	en	Science	Chemistry 	Other Chemistry 		Physical_Changes.mp4		video											
Relative Density		7S09					6	9	en	Science	Physics	Other Physics		Relative_Density.mp4		video											
Structure of an Atom		7S09					6	9	en	Science	Chemistry 	Atoms & Molecules		Structure_of_an_Atom.mp4		video											
Uses of Metals		7S10					6	9	en	Science	Chemistry 	Inorganics		Uses_of_Metals.mp4		video											
Acid Base Salts		7S10					6	9	en	Science	Chemistry 	Inorganics		Acid_Base_Salts.mp4		video											
Rocks and Minerals		7S11					6	9	en	Science	Earth	Geology	Minerals	Rocks_and_Minerals.mp4		video											
Sedimentary Rock Formation		7S11					6	9	en	Science	Earth	Geology	Rocks	Sedimentary_Rock_Formation.mp4		video											
Metamorphic Rock Formation		7S11					6	9	en	Science	Earth	Geology	Rocks	Metamorphic_Rock_Formation.mp4		video											
Igneous Rock Formation		7S11					6	9	en	Science	Earth	Geology	Rocks	Igneous_Rock_Formation.mp4		video											
The Asteroid Belt		7S11					6	9	both	Science	Astronomy	Solar System	Asteroid	The_Asteroid_Belt.jpg		image											
Comparison of Vesta and Ceres		7S11					6	9	both	Science	Earth	Geology	Rocks	Comparison_of_Vesta_and_Ceres.jpg		image											
Scientific Method		6S01.01					5	9	en	Science	Innovations	Other Innovations		Scientific_Method.mp4		video											
What is Science		6S01.01					5	9	en	Science	Innovations	Other Innovations		What_is_Science.mp4		video											
Measuring Volume with a Beaker		6S01.02					6	8	en	Science	Physics	Other Physics		Measuring_Volume_with_a_Beaker.mp4		video											
Metric unit of length 		6S01.04					5	10	en	Mathematics	Measurement 	Area		Metric_unit_of_length.mp4		video											
Measuring Mass		6S01.04					6	8	en	Mathematics	Measurement 	Weight		Measuring_Mass.mp4		video											
Converting units of measurements		6S01.04					6	9	en	Mathematics	Measurement 	Area		Converting_units_of_measurements.mp4		video											
Converting between units of time		6S01.04					6	9	en	Mathematics	Measurement 	Date & Time		Converting_between_units_of_time.mp4		video											
Thermometers 		6S01.04					6	9	en	Mathematics	Measurement 	Temperature		Thermometers.mp4		video											
"Length, Area, Volume"		6S01.04					6	9	en	Mathematics	Measurement 	Other Measurement 		Length_ Area_Volume.mp4		video											
Amazing Agriculture Technology		6S02.01					5	10	both	Science	Technology	Environmental	Other Environmental	Amazing_Agriculture_Technology.mp4		video											
"Input, Output and Storage devices "		6S02.02					5	9	en	Science	IT	Software		Input_Output_and_Storage_devices.mp4		video											
Input and Output devices of Computer		6S02.02					4	6	en	Science	IT	Software		Input_and_Output_devices_of_Computer.mp4		video											
Smartphones		6S02.02					6	7	en	Science	Technology	Electrical		Smartphones.mp4		video											
Microsoft Word Basics		6S02.02					6	7	en	Science	IT	Software		Microsoft_Word_Basics.mp4		video											
Spreadsheet Fundamentals		6S02.02					6	8	en	Science	IT	Other IT		Spreadsheet_Fundamentals.mp4		video											
Sorting Data in MS Excel		6S02.02					6	8	en	Science	IT	Software		Sorting_Data_in_MS_Excel.mp4		video											
Adaptation in Animals 		6S03.01					5	7	en	Science	Biology	Ecology	Biodiversity	Adaptation_in_Animals.mp4 		video											
Living Organisms and their Surroundings		6S03.01					5	7	en	Science	Biology	Ecology	Biodiversity	Living_Organisms_and_their_Surroundings.mp4		video											
Aquatic Adaptations		6S03.01					6	8	en	Science	Biology	Ecology	Biodiversity	Aquatic_Adaptations.mp4		video											
"Carnivore, Herbivore & Omnivore Animals"		6S03.02					6	8	en	Science	Biology	Ecology	Biodiversity	Carnivore_Herbivore_&_Omnivore_Animals.mp4		video											
What do other organisms eat		6S03.02					5	10	en	Social Studies 	Community	Everyday Life 	Food	What_do_other_organisms_eat.mp4		video											
Vertebrates		6S03.03					6	8	en	Science	Biology	Organs Animal	Vertebra	Vertebrates.mp4		video											
ढाड भएका जनावरहरू	ढाड भएका जनावरहरू	6S03.03					6	8	np	Science	Biology	Organs Animal	Vertebra		ढाड_भएका_जनावरहरू.mp4	video											
Diversity in Living Organism Pt 1		6S03.03					6	8	en	Social Studies 	Community	Everyday Life 	Diversity	Diversity_in_Living_Organism_Pt_1.mp4		video											
Amphibians		6S03.03					6	8	en	Science	Biology	Zoology	Amphibians	Amphibians.mp4		video											
Types of Seeds		6S03.04					5	8	en	Science	Biology	Plants	Seed	Types_of_Seeds.mp4		video											
Monocot vs Dicot		6S03.04					5	8	en	Science	Biology	Plants	Seed	Monocot_vs_Dicot.jpg		image											
Reduce Reuse Recycle		6S04.02					6	8	en	Science	Earth	Human Impact 	Waste & Recycling	Reduce_Reuse_Recycle.mp4		video											
5 Things You Can Do to Reduce Pollution		6S04.02					6	8	en	Science	Earth	Human Impact 	Waste & Recycling	5_Things_You_Can_Do_to_Reduce_Pollution.mp4		video											
Interaction with Ecosystem		6S04.03	6S04.04				6	8	en	Science	Biology	Other Biology	Ecosystem	Interaction_with_Ecosystem.mp4		video											
Understanding Ecosystems		6S04.03					6	8	en	Science	Biology	Other Biology	Ecosystem	Understanding_Ecosystems.mp4		video											
Ecosystem and Biomes		6S04.03	6S04.04				6	9	en	Science	Biology	Other Biology	Ecosystem	Ecosystem_and_Biomes.mp4		video											
"Producers, Consumers and Decomposers "		6S04.03					6	9	en	Science	Biology	Other Biology	Ecosystem	Producers_Consumers_and_Decomposers.mp4 		video											
Trophic Levels		6S04.03					6	9	en	Science	Biology	Other Biology	Ecosystem	Trophic_Levels.mp4		video											
Nutrition in Ecosystem		6S04.03					6	9	en	Science	Biology	Other Biology	Ecosystem	Nutrition_in_Ecosystem.mp4		video											
Ecology Introduction 		6S04.04					6	8	en	Science	Biology	Ecology 	Other Ecology 	Ecology_Introduction.mp4		video											
Autotrophs and Heterotrophs 		6S05.01	6S04.03				6	8	en	Science	Biology	Other Biology	Ecosystem	Autotrophs_and_Heterotrophs.mp4		video											
Blue Mushroom		6S05.01					6	10	both	Science	Biology	Plants	Other Plants	Blue_Mushroom.jpg		image											
What is Photosynthesis		6S05.02					5	8	en	Science	Biology	Plants	Photosynthesis	What_is_Photosynthesis.mp4 		video											
Human Digestive System		6S05.02					6	9	en	Science	Biology	People		Human_Digestive_System.mp4		video											
Nutrition in Plants Photosynthesis 		6S05.02					5	9	en	Science	Biology	Plants	Photosynthesis	Nutrition_in_Plants_Photosynthesis.mp4 		video											
Basics of Force and Motion		6S06.02	6S06.01				6	8	en	Science	Physics	Forces	Other Forces	Basics_of_Force_and_Motion.mp4		video											
Introduction of Force		6S06.02	6S06.01				6	8	en	Science	Physics	Forces	Other Forces	Introduction_of_Force.mp4		video											
Effects of a Force		6S06.02					6	8	both	Science	Physics	Forces	Other Forces	Effects_of_a_Force.jpg		image											
Introduction of Simple Machines		6S06.03					5	9	en	Science	Physics	Other Physics		Introduction_of_Simple_Machines.mp4		video											
Types of Energy		6S07.01					5	9	en	Science	Physics	Forces	Work & Energy & Power	Types_of_Energy.mp4		video											
Different forms of energy		6S07.01					5	9	en	Science	Physics	Forces	Work & Energy & Power	Different_forms_of_energy.mp4		video											
Transformation of Energy		6S07.01					5	9	en	Science	Physics	Forces	Work & Energy & Power	Transformation_of_Energy.mp4		video											
Kinetic Energy		6S07.01					5	10	en	Science	Physics	Forces	Work & Energy & Power	Kinetic_Energy.mp4		video											
Kinetic Energy Vs Potential Energy		6S07.01					5	10	en	Science	Physics	Forces	Work & Energy & Power	Kinetic_Energy_Vs_Potential_Energy.mp4		video											
Shadows		6S07.03					5	10	en	Science	Physics	Electromagnetism	Light 	Shadows.mp4		video											
Rectilinear propagation of light		6S07.03					5	9	en	Science	Physics	Electromagnetism	Light 	Rectilinear_propagation_of_light.mp4		video											
Pinhole Camera		6S07.03					6	8	both	Science	Physics	Electromagnetism	Light 	Pinhole_Camera.mp4		video											
Light travels in a straight line		6S07.03					6	9	en	Science	Physics	Electromagnetism	Light 	Light_travels_in_a_straight_line.mp4		video											
Travelling of Light		6S07.03					6	9	both	Science	Physics	Electromagnetism	Light 	Travelling_of_Light.mp4		video											
Introduction to light and shadow		6S07.03					6	9	en	Science	Physics	Electromagnetism	Light 	Introduction_to_light_and_shadow.mp4		video											
Sound		6S07.04					5	8	en	Science	Physics	Other Physics	Sound	Sound.mp4		video											
Waves Propagation		6S07.04					5	8	en	Science	Physics	Other Physics	Sound	Waves_Propagation.mp4		video											
Propagation of Sound		6S07.04					5	8	en	Science	Physics	Other Physics	Sound	Propagation_of_Sound.mp4		video											
How to make a magnet		6S08.01					5	8	both	Science	Physics	Electromagnetism		How_to_make_a_magnet.mp4		video											
Types of Circuit		6S08.02					5	8	en	Science	Physics	Electromagnetism	Light 	Types_of_Circuit.mp4		video											
Types of Mixture		6S09.01					5	8	en	Science	Chemistry	Other Chemistry		Type_of_Mixture.mp4		video											
Chromatography		6S09.01					6	9	both	Science	Chemistry	Other Chemistry		Chromatography.mp4		video											
Distillation		6S09.01					6	9	en	Science	Chemistry	Other Chemistry		Distillation.mp4		video											
Chromatography 2		6S09.01					6	9	en	Science	Chemistry	Other Chemistry		Chromatography_2.mp4		video											
Simple Distillation		6S09.01					6	9	en	Science	Chemistry	Other Chemistry		Simple_distillation.mp4		video											
Madani		6S09.01					6	9	both	Science	Chemistry	Other Chemistry		Madani.jpg		image											
Distillation Diagram		6S09.01					6	9	both	Science	Chemistry	Other Chemistry		Distillation_Diagram.jpg		image											
Alcohol making distillation		6S09.01					6	8	both	Science	Chemistry	Other Chemistry		Alcohol_making_distillation.jpg		image											
"Solution, suspension and colloid"		6S09.02					6	8	en	Science	Chemistry	Other Chemistry		Solution_suspension_and_colloid.mp4		video											
Solution or Suspension		6S09.02					6	8	both	Science	Chemistry	Other Chemistry		Solution_or_Suspension.mp4		video											
Metals and Non Metals		6S10.02					6	8	en	Science	Chemistry	Metal		Metals_and_Non_Metals.mp4		video											
Layer of soil and its formation		6S11.01					6	8	en	Science	Earth	Geology	Soils	Layer_of_soil_and_its_formation.mp4		video											
Soil Pollution		6S11.01					5	9	en	Science	Earth	Geology	Soils	Soil_Pollution.mp4		video											
Soil Erosion Introduction 		6S11.01					6	8	en	Science	Earth	Geology	Soils	Soil_Erosion_Introduction.mp4		video											
Stone Age People Home		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Stone_Age_People_Home.jpg		image											
Stone Age People		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Stone_Age_People.jpg		image											
Stone Age Cave		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Stone_Age_Cave.jpg		image											
Stone Age tools 		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Stone_Age_tools.jpg		image											
Barbarian people		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Barbarian_people.jpg		image											
Barbarian Tools		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Barbarian_Tools.jpg		image											
Barbarian going to attack 		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Barbarian_going_to_attack.jpg 		image											
Traditional attire of ancients 		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Traditional_attire_of_ancients.jpg		image											
Stone age 		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History	Stone_age.jpg		image											
Modern Attire		7SS01.01					6	9	both	Social Studies	History	Modern		Modern_Attire.jpg		image											
Modern Attire 2		7SS01.01					6	9	both	Social Studies	History	Modern		Modern_Attire_2.jpg		image											
Building 		7SS01.01					6	9	both	Social Studies	History	Modern		Building.jpg		image											
Sakela Ritual of Kirat		7SS02.03	7SS02.04				6	9	both	Social Studies	Beliefs	Religions	Other Religions	Sakela_Ritual_of_Kirat.jpg		image											
Ancestoral deity of Kirat		7SS02.03					6	9	both	Social Studies	Beliefs	Religions	Other Religions	Ancestoral_deity_of_Kirat.jpg		image											
Shankha		7SS02.05					5	9	both	Social Studies	Beliefs	Religions	Other Religions	Shankha.jpg		image											
Mahaguru Falgunanda		7SS02.08					7	9	np	Social Studies	Beliefs	People	Other People	Mahaguru_Falgunanda.mp4		video											
Constitution of Nepal		7SS03.01					5	10	both	Social Studies	Issues	Solutions		Constitution_of_Nepal.jpg		image											
Human Rights		7SS03.04					5	9	both	Social Studies	Issues	Human Rights		Human_Rights.jpg		image											
Licchavi dynasty scripture 		7SS05.01					7	9	both	Social Studies	History	Nepal		Licchavi_dynasty_scripture.jpg		image											
Seal of Sen rajya		7SS05.02					7	9	both	Social Studies	History	Nepal		Seal_of_Sen_rajya.jpg		image											
Buddha teaching his sermon		7SS05.04					6	9	both	Social Studies	Beliefs	Religions	Buddhism	Buddha_teaching_his_sermon.jpg		image											
Buddha aiding sick person		7SS05.04					6	9	both	Social Studies	Beliefs	Religions	Buddhism	Buddha_aiding_sick_person.jpg		image											
Buddha depicting kindness		7SS05.04					6	9	both	Social Studies	Beliefs	Religions	Buddhism	Buddha_depicting_kindness.jpg		image											
Miaoying Temple		7SS05.05					6	9	both	Social Studies	Community	Everyday Life	Religious Sites	Miaoying_Temple.jpg		image											
Gorkhali Army Preparing For War		7SS05.06					6	9	both	Social Studies	History	Nepal	Conflicts	Gorkhali_Army_Preparing_For_War.jpg		image											
Prithivi Narayan Shah era uniform		7SS05.06					6	9	both	Social Studies	History	Nepal	Other Nepal	Prithivi_Narayan_Shah_era_uniform.jpg		image											
Prithivi Narayan Shah: a look at Kathmandu		7SS05.06					6	9	both	Social Studies	History	Nepal	Other Nepal	Prithivi_Narayan_Shah_a_look_at_Kathmandu.jpg		image											
Sinja Valley		7SS05.07					7	9	both	Social Studies	History	Nepal	Geography	Sinja_Valley.jpg		image											
Greenery in Sinja Valley		7SS05.07					7	9	both	Social Studies	History	Nepal	Geography	Greenery_in_Sinja_Valley.jpg		image											
Karnali Sinja Valley		7SS05.07					7	9	both	Social Studies	History	Nepal	Geography	Karnali_Sinja_Valley.jpg		image											
Khas People		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	Khas_People.jpg		image											
Nepali girl in Khas Culture		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	Nepali_girl_in_Khas_Culture.jpg		image											
Khas Tribe of Nepal		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	Khas_Tribe_of_Nepal.jpg		image											
Khas language using Devanagari script		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	Khas_language_using_Devanagari_script.jpg		image											
Khas Kingdom		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	Khas_Kingdom.jpg		image											
First stone script in Nepali Language		7SS05.07					7	9	both	Social Studies	History	Nepal	Other Nepal	First_stone_script_in_Nepali_Language.jpg		image											
Hydropower plant		7SS06.02					6	9	both	Social Studies	Community	Social Organization	Infrastructure	Hydropower_plant.jpg		image											
Gray Dam Under Blue Sky		7SS06.02					6	9	both	Social Studies	Community	Social Organization	Infrastructure	Gray_Dam_Under_Blue_Sky.jpg		image											
Milking Cow		7SS06.03					6	9	both	Social Studies	Community	Everyday Life	Other Everyday Life	Milking_Cow.jpg		image											
Woman at shoe store 		7SS06.04					6	9	both	Social Studies	Community	Everyday Life	Other Everyday Life	Woman_at_shoe_store.jpg		image											
QR Code on jar		7SS06.04					6	9	both	Social Studies	Community	Everyday Life	Other Everyday Life	QR_Code_on_jar.jpg		image											
Tax Form Invoice 		7SS06.05					6	9	both	Social Studies	Economy	Finance		Tax_Form_Invoice.jpg		image											
Tax 		7SS06.05					6	9	both	Social Studies	Economy	Finance		Tax.jpg		image											
Plateau		7SS07.02					6	9	both	Social Studies	Geography	Landforms		Plateau.jpg		image											
Rat in hole		7SS07.03					7	9	both	Science	Biology	Ecology		Rat_in_hole.jpg		image											
Rain		7SS07.05					4	8	both	Science	Earth	Climate	Rain	Rain.jpg		image											
