_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
4SS04.03	40	2	63	3	chapter	Natural Resources	xfd|f ;f+:s[lts ;Dkbfx¿	Social Studies	Earth	Other Earth	Environment
4SS04.04	42	2	66	2	chapter	Our Cultural Heritage	;dfg Jojxf/	Social Studies	Community	Everyday Life	Customs
4SS04.05	44	2	68	7	chapter	Cleaning of Public Places	;]jf k|bfos lgsfox¿	Science	Earth	Human Impact	Waste & Recycling
4SS04.06	46	2	74	1	chapter	Traffic Rules	PsfO—rf/ M ;fdflhs ;d:of / ;dfwfg	Social Studies	Community	Everyday Life	Other Everyday Life
4SS04.07	48	2	76	3	chapter	Rural Municipality	c;n ;dfh	Social Studies	Community	Government	Local
4SS04.08	50	2	79	3	chapter	Municipality	;fdflhs ;d:ofaf6 arf}F / arfcf}F M	Social Studies	Community	Government	Local
4SS04.09	52	2	82	4	chapter	Equal Treatment	;fdflhs ;d:of / o;sf ;dfwfgsf pkfox¿	Social Studies	Community	Everyday Life	Other Everyday Life
4SS05.00	54	1			section	Our Earth					
4SS05.01	54	2	86	4	chapter	Our District	;fdflhs ;d:of ;dfwfgdf :yfgLo ;ª\3;+:yfx	Social Studies	Community	Government	Local
4SS05.02	56	2	90	1	chapter	Kanchanpur District on a Map	PsfO—kfFr M xfd|f] ljut	Social Studies	Geography	Asia	Nepal
4SS05.03	58	2	91	2	chapter	Origin of the Earth	d]/f] kl/jf/ / l5d]sLsf] ljut	Science	Astronomy	Solar System	Earth
4SS05.04	60	2	93	2	chapter	Structure of the Earth	xfd|f ;d'bfosf c;n JolStx¿	Science	Earth	Other Earth	About
4SS05.05	62	2	95	2	chapter	"Our Neighboring Country, India"	]/f] /dfOnf] ufpF	Social Studies	Geography	Asia	India
4SS05.06	64	2	97	4	chapter	"Our Neighboring Country, China"	"xfd|f k""j{h"	Social Studies	Geography	Asia	China
4SS06.00	66	1			section	Our History					
4SS06.01	66	2	101	1	chapter	The History of my Village	PsfO—5 M xfd|f cfly{s lj|mofsnfk	Social Studies	History	Nepal	History
4SS06.02	68	2	102	5	chapter	Our Historical Heritage	fdsf] ;Ddfg u/f}F	Social Studies	History	Nepal	History
4SS06.03	70	2	104	6	chapter	How Nepal Derived its Name	"xfd|f pTkfbg, /fd|f pTkfbg"	Social Studies	History	Nepal	History
4SS06.04	72	2	113	3	chapter	Our Brave Martyrs	xfd|f cfocfh{gsf sfo{	Social Studies	History	Nepal	Famous Persons
4SS06.05	74	2	116	3	chapter	The Search for Martyrs and Respect	dtJooL agf}F	Social Studies	History	Nepal	Famous Persons
4SS07.00	76	1	119	7	section	Our Economic Activities	xfd|f] xf6ahf/				
4SS07.01	76	2	126	1	chapter	Working Habit	PsfO—;ft M xfd|f] k[YjL	Social Studies	Community	Psychology	Behavior
4SS07.02	78	2	127	3	chapter	Respect for Work	xfd|f] ;femf 3/	Social Studies	Community	Psychology	Respect
4SS07.03	80	2	130	3	chapter	Habit of Being Thrifty	xfd|f] k[YjL / ;fwg ;|f]t	Social Studies	Community	Psychology	Other Psychology
4SS07.04	82	2	133	3	chapter	Products of our Provinces	ljkt\sf] kl/ro / ;fjwfgLsf pkfo	Social Studies	Economy	Other Economy	Local Products
4SS07.05	84	2	136	3	chapter	Our Economic Activities	xfd|f] :yfgLo tx	Social Studies	Economy	Occupations	Other Occupations
4SS08.00	86	1			section	Visual Arts					
4SS08.01	86	2	139	3	chapter	Let's Express ourselves Through Painting	gS;f sf]/f}F	Social Studies	Arts	Visual Art	Painting
4SS08.02	88	1	142	5	chapter	Let's Draw from Observation	cfgf] ufpF 6f]nsf] cjl:ytL	Social Studies	Arts	Visual Art	Drawing
4SS08.03	89	1			chapter	"Let's Draw the Pictures of Trees, Animals and Birds"		Social Studies	Arts	Visual Art	Drawing
4SS08.04	90	1			chapter	Let's Mix the Colours		Social Studies	Arts	Visual Art	Color
4SS08.05	91	2			chapter	Let's Make Dark and Light Color		Social Studies	Arts	Visual Art	Painting
4SS08.06	93	1			chapter	Let's Express Ourselves		Social Studies	Arts	Visual Art	Painting
4SS08.07	94	1			chapter	Let's Make a Painting Together		Social Studies	Arts	Visual Art	Painting
4SS08.08	95	2			chapter	Let's Do Print Work		Social Studies	Arts	Visual Art	Printing
4SS08.09	97	1			chapter	Let's Do Printing from Stencils		Social Studies	Arts	Visual Art	Printing
4SS08.10	98	1			chapter	Let's Make Collages		Social Studies	ARts	Visual Art	Collage
4SS08.11	99	1			chapter	Let's Make a Plan and Make Collage		Social Studies	ARts	Visual Art	Collage
4SS08.12	100	1			chapter	Let's Use Various Objects		Social Studies	Arts	Visual Art	Collage
4SS08.13	101	2			chapter	Let's Make Different Objects from Clay		Social Studies	Arts	Visual Art	Pottery
4SS08.14	103	2			chapter	Let's Make Different Objects from Clay Slab		Social Studies	Arts	Visual Art	Pottery
4SS08.15	105	5			chapter	Let's Make Different Objects from Paper		Social Studies	Arts	Visual Art	Paper
4SS08.16	110	2			chapter	Let's Make New Things from Old Stuff		Social Studies	Arts	Visual Art	Sculpture
4SS08.17	112	1			chapter	Let's Make Objects from Wire		Social Studies	Arts	Visual Art	Other Visual Art
4SS08.18	113	1			chapter	Let's Construct Things with a Rope		Social Studies	Arts	Visual Art	Other Visual Art
4SS08.19	114	1			chapter	Let's Make Objects from the Boxes of Paper		Social Studies	Arts	Visual Art	Other Visual Art
4SS08.20	115	3			chapter	Let's Weave		Social Studies	Arts	Visual Art	Weaving
4SS09.00	118	1			section	Music					
4SS09.01	118	1			chapter	Let's Do Vocal Practice		Social Studies	Arts	Music	Vocal Music
4SS09.02	119	1			chapter	"I Play the ""Madal"""		Social Studies	Arts	Music	Instrumental Music
4SS09.03	120	1			chapter	I Sing a Song		Social Studies	Arts	Music	Vocal Music
4SS09.04	121	1			chapter	Let's Sing Local Songs		Social Studies	Arts	Music	Vocal Music
4SS09.05	122	1			chapter	Jhyaure (western style) Song		Social Studies	Arts	Music	Vocal Music
4SS09.06	123	1			chapter	Let's Sing National Songs		Social Studies	Arts	Music	Vocal Music
4SS09.07	124	1			chapter	Let's Sing A Children's Song		Social Studies	Arts	Music	Vocal Music
4SS09.08	125	1			chapter	Let's Dance		Social Studies	Arts	Dance	Folk Dance
4SS09.09	126	1			chapter	Let's Dance Jyayure-style		Social Studies	Arts	Dance	Folk Dance
4SS09.10	127	1			chapter	Hand Gestures		Social Studies	Arts	Dance	Folk Dance
4SS09.11	128	1			chapter	Let's Act		Social Studies	Arts	Drama	Acting
5SS01.00	7	1	11	1	section	"Me, My Family and Neighborhood"	"एकाइः एक  आफू, आफ्नो परिवार र छरछिमेक"				
5SS01.01	8	2	11	2	chapter	My Neighbors and their Occupations	मेरा छिमेकीको पेसा	Social Studies	Economy	Occupations	
5SS01.02	10	2	13	2	chapter	Dealings with Neighbors	छिमेकीहरूसँगको व्यवहार	Social Studies	Community	Everyday Life	Other Everyday Life
5SS01.03	12	2	15	2	chapter	Help in the Community Work	समुदायको काममा सहयोग	Social Studies	Community	Social Organization	Mutual Help
5SS01.04	14	2	17	2	chapter	Equal Treatment	समान व्यवहार	Social Studies	Community	Social Organization	Problems
5SS01.05	16	2	19	2	chapter	Understand Others	अरूलाई पनि बुझौँ	Social Studies	Community	Social Organization	Mutual Help
5SS02.00	18	1	21	1	section	"Our Traditon, Social Values and Norms"	"एकाइः दुई  हाम्रो परम्परा, सामाजिक मूल्य र मान्यता"				
5SS02.01	18	2	21	2	chapter	Our Traditions	हाम्रो परम्परा	Social Studies	Community	Everyday Life	Customs
5SS02.02	20	2	23	2	chapter	Our Language and Costumes	हाम्रो भाषा र वेषभूषा	Social Studies	Community	Everyday Life	Other Everyday Life
5SS02.03	22	2	25	2	chapter	Our Festivals	हाम्रा चाडपर्वहरू	Social Studies	Community	Everyday Life	Celebrations
5SS02.04	24	2	27	2	chapter	Our Country Our Pride	हाम्रो देश हाम्रो गौरव	Social Studies	Community	Social Organization	Other Social Organization
5SS02.05	26	2	29	2	chapter	Good People of Our District	हाम्रो जिल्लाका असल मानिस	Social Studies	Community	Everyday Life	People
5SS03.00	28	1	31	1	section	Social Problems and Solutions	एकाइः तीन  सामाजिक समस्या र सामाधान				
5SS03.01	28	2	31	2	chapter	Save Yourself and Others from Bad Habits	कुलतबाट बचौँ र बचाऔँ	Social Studies	Community	Social Organization	Mutual Help
5SS03.02	30	2	33	2	chapter	"Theft, Robbery and Ways to Protect Ourselves"	"चोरी, डकैती र यसबाट बच्ने उपाय"	Social Studies	Community	Social Organization	Laws
5SS03.03	32	2	35	2	chapter	Don't be over-imitative	अनावश्यक नक्कल नगरौँ	Social Studies	Community	Everyday Life	Customs
5SS03.04	34	2	37	2	chapter	Cooperation	मेलमिलाप	Social Studies	Community	Peace	Nobel Prize
5SS03.05	36	2	39	2	chapter	Social Organizations	सामाजिक सङ्घसंस्था	Social Studies	Medicine	Healthy Living	
5SS03.06	38	2	41	2	chapter	The Role of Our Local Bodies	हाम्रा स्थानीय निकायहरूको भूमिका	Social Studies	History	Nepal	Government
5SS04.00	40	1	43	1	section	Civic Awareness	एकाइः चार  नागरिक चेतना				
5SS04.01	40	2	43	2	chapter	Our Rights	हाम्रो अधिकार	Social Studies	History	Nepal	Rights & Duties
5SS04.02	42	2	45	2	chapter	Our Duties	हाम्रा कर्तव्यहरू	Social Studies	History	Nepal	Rights & Duties
5SS04.03	44	2	47	2	chapter	Our National Heritage	हाम्रो राष्ट्रिय सम्पदा	Social Studies	History	Nepal	History
5SS04.04	46	2	49	2	chapter	Our Social Rules and Regulations	हाम्रा सामाजिक नियमहरू	Social Studies	Community	Everyday Life	Customs
5SS04.05	48	2	51	2	chapter	District Coordination Committee	जिल्ला विकास समिति	Social Studies	History	Nepal	Government
5SS04.06	50	2	53	2	chapter	Functions of District Coordination Committee	जिल्ला विकास समितिका कार्यहरू	Social Studies	History	Nepal	Government
5SS04.07	52	2	55	2	chapter	Equal Treatment and Mutual Cooperation	समान व्यवहार र आपसी मलेमिलाप	Social Studies	Community	Everyday Life	Tolerance
5SS05.00	54	1	57	1	section	Our Earth	एकाइः पाँच  हाम्रो पृथ्वी				
5SS05.01	54	2	57	2	chapter	Physical Features of Nepal	नेपालको प्राकृतिक स्वरूप	Social Studies	Geography	Asia	Nepal
5SS05.02	56	2	59	2	chapter	Climate and Life Style of Nepal	नेपालको हावापानी र जनजीवन	Science	Earth	Climate	
5SS05.03	58	2	61	2	chapter	Natural Vegetation of Nepal	नेपालको प्राकृतिक वनस्पति	Science	Biology	Plants	
5SS05.04	60	2	63	2	chapter	The Soil of Our Country	हाम्रो देशको माटो	Science	Earth	Human Impact	Soils
5SS05.05	62	2	65	2	chapter	Learn to Draw a Map	नक्सा बनाउन सिकौँ	Social Studies	Geography	Maps	
5SS05.06	64	2	67	2	chapter	Fill the Symbols in the Map	नक्सामा सङ्केतहरू भरौँ	Social Studies	Geography	Maps	
5SS05.07	66	2	69	2	chapter	Use of the Globe and Maps	ग्लोब र नक्साको प्रयोग	Social Studies	Geography	Maps	
5SS05.08	68	2	71	2	chapter	"Our Neighbouring Countriess: Bangladesh, Pakistan and Bhutan"	"हाम्रा छिमेकी देश बङ्गलादेश, पाकिस्तानर र भुटान"	Social Studies	Geography	Asia	
5SS05.09	70	2	73	2	chapter	"Our neighbouring Countries: Sri Lanka, Maldives and Afghanistan"	"हाम्रो छिमेकी राष्ट्र श्रीलङ्का, माल्दिभ्स र अफगानिस्तान"	Social Studies	Geography	Asia	
5SS06.00	72	1	75	1	section	Our History	एकाइः छ  हाम्रो विगत				
5SS06.01	72	2	75	2	chapter	Historical Objects of Our Community	हाम्रा समुदायका ऐतिहासिक वस्तुहरू	Social Studies	History	Nepal	
5SS06.02	74	2	77	2	chapter	Historical Personalities of Our Community	हाम्रा समुदायका ऐतिहासिक व्यत्तित्वहरू	Social Studies	History	People	
5SS06.03	76	2	79	2	chapter	Ancient Nepal	प्राचीन नेपाल	Social Studies	History	People	History
5SS06.04	78	2	81	2	chapter	"Our National Heroes: Janak, Sita, Buddha..."	"हाम्रा राष्ट्रिय विभूतिहरूः जनक, सीता, बुद्ध, अरनिको, शङ्खधर र अंशुवर्मा"	Social Studies	History	Nepal	People
5SS06.05	80	2	83	2	chapter	Our National Heroes: Prithivi Narayan…	"हाम्रा राष्ट्रिय विभूतिहरूः पृथ्वीनारायण, बलभद्र र अमर सिंह"	Social Studies	History	Nepal	People
5SS06.06	82	2	85	2	chapter	Our National Heroes	"हाम्रा राष्ट्रिय विभूतिहरूःपासाङ्ल्हामु, भीमसेन, भानुभक्त, मोतिराम, राम शाह र त्रिभुवन"	Social Studies	History	Nepal	People
5SS06.07	84	2	87	2	chapter	Our Head of State and the Head of Government	हाम्रा राष्ट्र प्रमुख तथा सरकार प्रमुख	Social Studies	History	Nepal	People
5SS07.00	86	1	89	1	section	Our Economic Activities	एकाइः सात  हाम्रो आर्थिक क्रियाकलाप				
5SS07.01	86	2	89	2	chapter	Occupations in Dolma's District	डोल्माको जिल्लाका मानिसले गर्ने काम	Social Studies	Economy	Occupations	
5SS07.02	88	2	91	2	chapter	School Property	विद्यालयका सामानहरू	Social Studies	Community	Education	Schools
5SS07.03	90	2	93	2	chapter	National Production	स्वेदेशी उत्पादन	Social Studies	Economy	Agriculture	
5SS07.04	92	2	95	2	chapter	Use of National Products	स्वेदेशी सामानहरूको प्रयोग	Social Studies	Economy		
5SS07.05	94	2	97	2	chapter	Economic Activities of Our Country	हाम्रो देशको आर्थिक क्रियाकलाप	Social Studies	Economy		
5SS08.00	96	1	99	1	section	Visual Arts	दृश्यकला				
5SS08.01	96	2	100	2	chapter	Making Pictures that Come into Your Mind	मनमा लागेका कुराहरूको चित्र बनाऔँ	Social Studies	Arts	Visual Art	Painting
5SS08.02	98	1	102	1	chapter	"Sketching Pictures of Plants, Trees and the Environment"	रूख बिरुवा र वातावरणको चित्र कोरौँ	Social Studies	Arts	Visual Art	Drawing
5SS08.03	99	1	103	1	chapter	Making Pictures of Different Animals	विभिन्न जनावरहरूको चित्र बनाऔँ	Social Studies	Arts	Visual Art	Drawing
5SS08.04	100	2	104	2	chapter	Making Pictures through Geometrical Shapes	ज्यामितीय आकारबाट चित्र बनाऔँ	Social Studies	Arts	Visual Art	Drawing
5SS08.05	102	1	106	1	chapter	Preparing Colors	रङ बनाऔँ	Social Studies	Arts	Visual Art	Painting
5SS08.06	103	3	107	3	chapter	Mixing Colours	रङ मिसाऔँ	Social Studies	Arts	Visual Art	Painting
5SS08.07	106	1	110	1	chapter	Expression through Colours	रङबाट अभिव्यक्ति	Social Studies	Arts	Visual Art	Painting
5SS08.08	107	2	111	2	chapter	Wall Painting	भित्तेचित्र	Social Studies	Arts	Visual Art	Painting
5SS08.09	109	2	113	2	chapter	Printing by Means of Different Techniques	विभिन्न किसिमबाट छपाइ गरौँ	Social Studies	Arts	Visual Art	Painting
5SS08.10	111	2	115	2	chapter	Printing after Making Stencil	स्टेन्सिल बनाइ छपाइ गरौँ	Social Studies	Arts	Visual Art	Paper
5SS08.11	113	2	117	2	chapter	Plan Collectively (together)	सामूहिक योजना बनाऔँ	Social Studies	Arts	Visual Art	Paper
5SS08.12	115	1	119	1	chapter	Different Types of Collages	विभिन्न किसिमका कोलाजहरू	Social Studies	Arts	Visual Art	Paper
5SS08.13	116	1	120	1	chapter	Painting the Collage	कागजमा रङ दलौँ	Social Studies	Arts	Visual Art	Paper
5SS08.14	117	2	121	2	chapter	Making Different Objects with Clay	माटोबाट विभिन्न वस्तुहरू बनाऔँ	Social Studies	Arts	Visual Art	Sculpture
5SS08.15	119	1	123	1	chapter	Relief Work	रिलिफ कार्य	Social Studies	Arts	Visual Art	Sculpture
5SS08.16	120	1	124	1	chapter	Independent Presentation Using Clay	माटोबाट स्वतन्त्र अभिव्यक्ति	Social Studies	Arts	Visual Art	Sculpture
5SS08.17	121	4	125	4	chapter	Making Different Objects from Paper	कागजका विभिन्न वस्तु बनाऔँ	Social Studies	Arts	Visual Art	Paper
5SS08.18	125	1	129	1	chapter	Making Designs by Cutting Paper	कागजलाई काटेर बुट्टा बनाऔँ	Social Studies	Arts	Visual Art	Paper
5SS08.19	126	1	130	1	chapter	Making Festoons of Colourful Paper	कागजको तोरण बनाऔँ	Social Studies	Arts	Visual Art	Paper
5SS08.20	127	2	131	2	chapter	Making Paper Bags	कागजको थोँगा बनाऔँ	Social Studies	Arts	Visual Art	Paper
5SS08.21	129	1	133	1	chapter	Reusing Used Articles	खेर फालिने सामानहरूको प्रयोग गरौँ	Social Studies	Arts	Visual Art	Sculpture
5SS08.22	130	1	134	1	chapter	Constructing Items using Wire and Boxes	तारा र बट्टाबाट निर्माण गरौँ	Social Studies	Arts	Visual Art	Sculpture
5SS08.23	131	3	135	3	chapter	Constructing Items Using Different Geometrical Figures	ज्यामितीय आकारबाट निर्माण गरौँ	Social Studies	Arts	Visual Art	Sculpture
5SS08.24	134	1	138	1	chapter	Constructing Things Using Sticks and Strings	सिन्का र डोरीबाट निर्माण कार्य गरौँ	Social Studies	Arts	Visual Art	Sculpture
5SS08.25	135	1	139	1	chapter	Constructing Things Using Pieces of Paper	कागजको पानाबाट निर्माण गरौँ	Social Studies	Arts	Visual Art	Paper
5SS08.26	136	1	140	1	chapter	Paper Weaving	कागजको बुनाइ	Social Studies	Arts	Visual Art	Paper
5SS08.27	137	1	141	1	chapter	Weaving Work in the Community	समुदायमा हुने बुनाइ कार्य	Social Studies	Arts	Visual Art	Weaving
5SS08.28	138	1	142	1	chapter	Weaving Work Using Frames	फ्रेममा बुनाइ कार्य गरौँ	Social Studies	Arts	Visual Art	Weaving
5SS09.00	139	1	143	1	section	Music	सङ्गीत				
5SS09.01	139	1	143	1	chapter	Practicing Voice	स्वरको अभ्यास गरौँ	Social Studies	Arts	Music	Vocal Music
5SS09.02	140	3	144	3	chapter	"Playing the Madal, the Tabla and the Harmonium"	"म मादल, तबला र हार्मोनियम बजाउँछु"	Social Studies	Arts	Music	Vocal Music
5SS09.03	143	2	147	2	chapter	National Anthem	राष्ट्रिय गान	Social Studies	Arts	Music	Vocal Music
5SS09.04	145	1	149	1	chapter	Class Song	कक्षागत गीत	Social Studies	Arts	Music	Vocal Music
5SS09.05	146	1	150	1	chapter	Singing Local Songs	स्थानीय गीत गाऔँ	Social Studies	Arts	Music	Vocal Music
5SS09.06	147	1	151	1	chapter	Singing Songs	गीत गाऔँ	Social Studies	Arts	Music	Vocal Music
5SS09.07	148	1	152	1	chapter	Introduction to Dance	नृत्यको परिचय	Social Studies	Arts	Dance	Folk Dance
5SS09.08	149	2	153	2	chapter	Namaskara Dance	नमस्कार नृत्य	Social Studies	Arts	Dance	Folk Dance
5SS09.09	151	1	155	1	chapter	Dancing in a Semicircle	गोडा चलाउँदै अर्ध चन्द्रकार बनाई नृत्य गरौँ	Social Studies	Arts	Dance	Folk Dance
5SS09.10	152	1	156	1	chapter	Dancing in a Circle	गोडा चलाउँदै गोलाकार बनार्ई नृत्य गरौँ	Social Studies	Arts	Dance	Folk Dance
5SS09.11	153	1	157	1	chapter	Local Folk Dance	स्थानीय लोक नाच	Social Studies	Arts	Dance	Folk Dance
5SS09.12	154	1	158	1	chapter	Hand Gestures	हस्त मुद्रा	Social Studies	Arts	Dance	Folk Dance
5SS09.13	155	2	159	2	chapter	Acting	अभिनय गरौँ	Social Studies	Arts	Drama	Acting
6SS01.00			9	1	section	We and our society	हामी र हाम्रो समाज	Social Studies	Community	People	
6SS01.01			10	3	chapter	Society and community	समाज र समुदाय	Social Studies	Community	People	
6SS01.02			13	3	chapter	The foundations of society building	समाज निर्माणका आधारहरू	Social Studies	Community	Government	Local
6SS01.03			16	3	chapter	Village municipality and the services it provides	गाउँपालिका र यसले प्रदान गर्ने सेवाहरू	Social Studies	Community	Social Organization	Laws
6SS01.04			19	3	chapter	The municipality and the services it provides	नगरपालिका र यसले प्रदान गर्ने सेवाहरू	Social Studies	Community	Social Organization	Laws
6SS01.05			22	3	chapter	Development works at the local level	स्थानीय तहमा विकास कार्यहरू	Social Studies	Economy	Other Economy	Maintenance & Repair
6SS01.06			25	3	chapter	Infrastructures of development	विकासका पूर्वाधारहरू	Social Studies	Transportation		
6SS02.00			28	1	section	Our human values	हाम्रा मानव मूल्य मान्यता	Social Studies	Beliefs	People	
6SS02.01			29	3	chapter	Self-discipline	आत्मअनुशासन	Social Studies	Psychology	Self	
6SS02.02			32	5	chapter	Social behavior	सामाजिक व्यवहार	Social Studies	Psychology	Behavior	
6SS02.03			37	5	chapter	Our festivals	हाम्रा चाडपर्वहरू	Social Studies	Community	Everyday Life	Celebrations
6SS02.04			42	5	chapter	Our national pride	हाम्रो राष्‍ट्रिय गौरव	Social Studies	Community	People	
6SS02.05			47	4	chapter	Our religious and cultural heritage	हाम्रा धार्मिक तथा सांस्कृतिक सम्पदा	Social Studies	Community	Everyday Life	Diversity
6SS02.06			51	4	chapter	Children's Club and Scout	बालक्लब र स्काउट	Social Studies	Community	Education	Other Education
6SS02.07			55	3	chapter	National personality	राष्‍ट्रिय व्यक्तित्व	Social Studies	Community	Government	National
6SS03.00			58	1	section	"Civic consciousness, duties and rights"	"नागरिक चेतना, कर्तव्य र अधिकार"	Social Studies	Community	Anthropology	Ethics
6SS03.01			59	2	chapter	We are citizens	हामी नागरिक	Social Studies	Community	Social Organization	Citizenship
6SS03.02			61	3	chapter	We are citizens: our rights	हामी नागरिकः हाम्रा अधिकार	Social Studies	Community	Social Organization	Laws
6SS03.03			64	3	chapter	Our duty	हाम्रा कर्तव्य	Social Studies	Community	Social Organization	Work
6SS03.04			67	2	chapter	Democratic values ​​and beliefs	लोकतान्त्रिक मूल्य र मान्यता	Social Studies	Community	Government	Democracy
6SS03.05			69	3	chapter	We are children: our rights and duties	हामी बालबालिकाः हाम्रा अधिकार र कर्तव्य	Social Studies	History	Nepal	Rights & Duties
6SS03.06			72	3	chapter	Our social rules	हाम्रा सामाजिक नियम	Social Studies	History	Nepal	Rights & Duties
6SS03.07			75	3	chapter	Our security	हाम्रो सुरक्षा	Social Studies	Community	People	
6SS03.08			78	3	chapter	Let's follow the traffic rules	ट्राफिक नियमको पालना गरौँ	Social Studies	Economy	Law	Other Law
6SS04.00			81	1	section	Social problems and solutions	सामाजिक समस्या र समाधान	Social Studies	Issues	People	
6SS04.01			82	3	chapter	Social problems and distortions	सामाजिक समस्या र विकृति	Social Studies	Issues	People	
6SS04.02			85	3	chapter	Solutions to social problems and distortions	सामाजिक समस्या र विकृतिको समाधान	Social Studies	Issues	People	
6SS04.03			88	3	chapter	"The role of individuals, families and organizations in solving social problems and distortions"	"सामाजिक समस्या र विकृति समाधानमा व्यक्ति, परिवार र सङ्‌घसंस्थाको भूमिका"	Social Studies	Issues	People	
6SS04.04			91	3	chapter	Dispute	विवाद	Social Studies	History	Nepal	Conflicts
6SS04.05			94	2	chapter	Dispute resolution	विवाद समाधान	Social Studies	History	Nepal	Conflicts
6SS05.00			96	1	section	Our past	हाम्रो विगत	Social Studies	History	Nepal	History
6SS05.01			97	4	chapter	Integration of Nepal: Public Participation	नेपालको एकीकरणः जनसहभागिता	Social Studies	History	Nepal	Events
6SS05.02			101	2	chapter	Rajendra Laxmi and Bahadur Shah in the unification of Nepal	नेपाल एकीकरणमा राजेन्द्रलक्ष्मी र बहादुर शाह	Social Studies	History	Nepal	Events
6SS05.03			103	4	chapter	Nepal-British war	नेपाल अङ्‌ग्रेज युद्ध	Social Studies	History	Nepal	Conflicts
6SS05.04			107	3	chapter	"Rana rule: political, social and economic conditions"	"राणा शासनः राजनीतिक, सामाजिक र आर्थिक अवस्था"	Social Studies	History	Nepal	Politics
6SS05.05			110	3	chapter	V.S. Political developments from 2007 to date	वि.सं. २००७ देखि हालसम्मका राजनीतिक घटनाक्रम	Social Studies	History	Nepal	Politics
6SS05.06			113	4	chapter	Social and economic achievement: B.Sc. 2007 to present	सामाजिक तथा आर्थिक उपलब्धिः वि.सं. २००७ देखि हालसम्म	Social Studies	History	Nepal	Politics
6SS05.07			117	3	chapter	Mithila civilization	मिथिला सभ्यता	Social Studies	History	Nepal	Geography
6SS06.00			120	1	section	Nepal's economic activities	नेपालका आर्थिक क्रियाकलापहरू	Social Studies	Economy	Business	Economics
6SS06.01			121	3	chapter	Our economic activities: introduction and importance	हाम्रा आर्थिक क्रियाकलापः परिचय र महत्त्व	Social Studies	Economy	Business	Economics
6SS06.02			124	3	chapter	Our economic activities: Agriculture and industry	हाम्रा आर्थिक क्रियाकलापः कृषि र उद्योग	Social Studies	Economy	Agriculture	
6SS06.03			127	2	chapter	Our economic activities: services and trade	हाम्रा आर्थिक क्रियाकलापः सेवा र व्यापार	Social Studies	Economy	Occupations	
6SS06.04			129	3	chapter	Our Tourism: Our Pride	हाम्रो पर्यटनः हाम्रो गौरव	Social Studies	Economy	Tourism	
