_id	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
2M06.01	153	12	chapter	Lesson 9 Length	लम्बाइ	Mathematics	Measurement	Length	
2M06.02	165	4	chapter	Lesson 10 Area	क्षेत्रफल	Mathematics	Measurement	Area	
2M06.03	169	12	chapter	Lesson 11 Multiplication 1	गुणन १	Mathematics	Arithmetic	Multiplication & Division	
2M06.04	181	6	chapter	Lesson 12	भिन्‍न	Mathematics	Arithmetic	Fractions	
2M07.00	187	0	section	My creation	मेरो सिर्जना				
2M07.01	187	14	chapter	Lesson 13 Geometric shapes	ज्यामितीय आकारहरू	Mathematics	Geometry	Shapes	
2M08.00	201	0	section	Communication technology and markets	सञ्‍चार प्रविधि र बजार				
2M08.01	201	5	chapter	Lesson 14 Pictures and tables	चित्रग्राफ र तालिका	Mathematics	Other Mathematics	Graphs	
2M08.02	206	11	chapter	Lesson 15 Currency	मुद्रा	Mathematics	Measurement	Currency	
2M09.00	217	0	section	Basic Mathematical Exercises 2	गणितका आधारभूत क्रिया २				
2M09.01	217	24	chapter	Lesson 16 Multiplication 2	गुणन २	Mathematics	Arithmetic	Multiplication & Division	
2M09.02	241	14	chapter	Lesson 17	भाग	Mathematics	Arithmetic	Multiplication & Division	
2M10.01	255	2	chapter	Learning series	सिकाइ श‍ृङ्‌खला	Social Studies	Education	Textbooks	
3M01.00	7	0	section	My daily life	मेरो दैनिक जीवन	Social Studies	Community	Everyday Life	
3M01.01	7	8	chapter	Lesson 1 Time 1	समय	Mathematics	Measurement	Date & Time	
3M02.00	15	0	section	Knowledge of numbers	सङ्ख्याको ज्ञान	Mathematics	Numbers	Natural	
3M02.01	15	18	chapter	Lesson 2 Numbers up to five digits	पाँच अङ्‌कसम्मका सङ्ख्याहरू	Mathematics	Numbers	Natural	
3M02.02	33	5	chapter	Lesson 3 Comparison of numbers	सङ्ख्याहरूको तुलना	Mathematics	Numbers	Significance	
3M02.03	38	7	chapter	Lesson 4 Number format	सङ्ख्याको ढाँचा	Mathematics	Numbers	Significance	
3M03.00	45	0	section	Our community	हाम्रो समुदाय	Social Studies	Community		
3M03.01	45	3	chapter	Lesson 5 The increasing and decreasing cycle of numbers	सङ्ख्याहरूको बढ्दो र घट्दो क्रम	Mathematics	Numbers	Ordinal	
3M03.02	48	3	chapter	Lesson 6 Numbers up to 20 in the local number system	स्थानीय सङ्ख्याङ्‌कन पद्धतिमा २० सम्मका सङ्ख्याहरू	Mathematics	Numbers	Ordinal	
3M03.03	51	11	chapter	Lesson 7 Different	भिन्‍न	Mathematics	Arithmetic	Fractions	
3M03.04	62	9	chapter	Lesson 8 Length 1	लम्बाइ १	Mathematics	Measurement	Length	
3M04.00	71	0	section	My creation	मेरो सिर्जना	Social Studies	Arts		
3M04.01	71	9	chapter	Lesson 9 lines	रेखाहरू	Mathematics	Geometry	Shapes	Line
3M04.02	80	8	chapter	Lesson 10 Angles	कोणहरू	Mathematics	Geometry	Shapes	Angle
3M04.03	88	15	chapter	Lesson 11 Geometric shapes	ज्यामितीय आकारहरू	Mathematics	Geometry	Shapes	
3M05.00	103	0	section	Basic Mathematical Exercises	गणितका आधारभूत क्रिया				
3M05.01	103	12	chapter	Lesson 12 Addition	जोड	Mathematics	Arithmetic	Addition & Subtraction	
3M05.02	115	21	chapter	Lesson 13 Subtraction	घटाउ	Mathematics	Arithmetic	Addition & Subtraction	
3M05.03	136	27	chapter	Lesson 14 Multiplication	गुणन	Mathematics	Arithmetic	Multiplication & Division	
3M05.04	163	28	chapter	Lesson 15 Part	भाग	Mathematics	Arithmetic	Fractions	
3M06.00	191	0	section	My daily life 2	मेरो दैनिक जीवन २	Social Studies	Community	Everyday Life	
3M06.01	191	16	chapter	Lesson 16 Time 2	समय २	Mathematics	Measurement	Date & Time	
3M07.00	207	0	section	Communication technology and markets	सञ्‍चार प्रविधि र बजार	Social Studies	Arts	Media	Internet
3M07.01	207	19	chapter	Lesson 17 Money	मुद्रा	Mathematics	Measurement	Currency	
3M07.02	226	11	chapter	Lesson 18 Ability	क्षमता	Mathematics	Arithmetic	Addition & Subtraction	
3M07.03	237	3	chapter	Lesson 19 Length 2	लम्बाइ २	Mathematics	Measurement	Length	
3M07.04	240	5	chapter	Lesson 20 Weight	तौल	Mathematics	Measurement	Weight	
3M07.05	245	8	chapter	Lesson 21 Pictures	चित्रग्राफ	Mathematics	Other Mathematics	Graphs	
3M08.00	253	0	section	Measurements	नाप	Mathematics	Measurement		
3M08.01	253	4	chapter	Lesson 22 Area	क्षेत्रफल	Mathematics	Measurement	Area	
3M09.00	257	2	chapter	Learning series	सिकाइ श‍ृङ्‌खला	Social Studies	Education	Textbooks	
6M01.01	7	9	chapter	Set	समूह	Mathematics	Numbers	Sets	
6M02.00	16	0	section	Arithmetic	अङ्क गणित	Mathematics	Arithmetic		
6M02.01	16	40	chapter	Whole Number	पूर्ण सङ्ख्या	Mathematics	Numbers	Whole	
6M02.02	56	3	chapter	Integers	पूर्णाङ्कहरू	Mathematics	Numbers	Integers	
6M02.03	59	23	chapter	Fraction	भिन्न	Mathematics	Arithmetic	Fractions	
6M02.04	82	10	chapter	Decimal	दशमलव	Mathematics	Arithmetic	Decimals	
6M02.05	92	6	chapter	Percentage	प्रतिशत	Mathematics	Arithmetic	Percent	
6M02.06	98	6	chapter	Profit and Loss	नाफा र नोक्सा	Mathematics	Arithmetic	Unitary Method	
6M02.07	104	8	chapter	Unitary Method	ऐकिक नियम	Mathematics	Arithmetic	Unitary Method	
6M03.00	112	0	section	Measurement	क्षेत्रमिति	Mathematics	Measurement		
6M03.01	112	5	chapter	Distance	दुरी	Mathematics	Measurement	Length	
6M03.02	117	17	chapter	Perimeter Area and Volume	परिमिति, क्षेत्रफल र आयतन	Mathematics	Measurement	Perimeter	
6M04.00	134	0	section	Algebra	बीजगणित	Mathematics	Algebra		
6M04.01	134	3	chapter	Indices	घाताङ्क	Mathematics	Arithmetic	Exponents	
6M04.02	137	15	chapter	Algebraic Expression	बीजीय अभिव्यञ्जक	Mathematics	Algebra	Expressions	
6M04.03	152	13	chapter	Equation, Inequality and Graph	समीकरण, असमानता र लेखाचित्र	Mathematics	Algebra	Equations	
6M05.00	165	0	section	Geometry	ज्यामिति	Mathematics	Geometry		
6M05.01	165	27	chapter	Lines and Angles	रेखा र कोणहरू	Mathematics	Geometry	Shapes	Line
6M05.02	192	12	chapter	Plane Shapes	समतलीय आकृति	Mathematics	Geometry	Shapes	Plane
6M05.03	204	3	chapter	Circle	वृत्त	Mathematics	Geometry	Shapes	Circle
6M05.04	207	7	chapter	Solid Objects	ठोस वस्तुहरू	Mathematics	Geometry	Shapes	Solids
6M05.05	214	7	chapter	Co-ordinate Geometry	निर्देशाङ्क ज्यामिति	Mathematics	Geometry	Coordinate Grids	
6M05.06	221	9	chapter	Symmetry and Tessellation	सममिति र टेसेलेसन	Mathematics	Geometry	Shapes	Symmetry
6M06.00	230	0	section	Statistics	तथ्याङ्क शास्त्र	Mathematics	Applied Mathematics	Statistics	
6M06.01	230	10	chapter	Statistics	तथ्याङ्क शास्त्र	Mathematics	Applied Mathematics	Statistics	
7M01	6	14	chapter	Line and Angles	रेखा र कोण	Mathematics	Geometry	Shapes	
7M02	20	18	chapter	Triangles, Quadrilaterals and Polygons	त्रिभुज, चतुर्भुज र वहुभुज	Mathematics	Geometry	Shapes	Other Shapes
7M03	38	4	chapter	Similar and Congruent Figures	समरूपता र अनूरूपता	Mathematics	Geometry	Shapes	Symmetry
7M04	42	3	chapter	Circle	वृत्त	Mathematics	Geometry	Shapes	Circle
7M05	45	6	chapter	Fixed Shape	ठोस आकृति	Mathematics	Geometry	Shapes	Solids
7M06	51	7	chapter	Coordinates	निर्देशाङक	Mathematics	Geometry	Geometry	Coordinate Grids
7M07	58	12	chapter	Perimeter and Area	परिमिति र क्षेत्रफल	Mathematics	Geometry	Measurement	Other Measurement
7M08	70	10	chapter	Transformation	स्थानान्तरण	Mathematics	Geometry	Geometry	Polar Coordinates
7M09	80	9	chapter	Symmetry and Oscillations	सममिति र टेसलेसन	Mathematics	Geometry	Shapes	Symmetry
7M10	89	5	chapter	Direction and Scale Drawing	दिशास्थिति र स्केल ड्रइङ	Mathematics	Geometry	Construction	
7M11	94	16	chapter	Group	समूह	Mathematics	Numbers	Sets	Venn Diagram
7M12	110	16	chapter	Whole Numbers	पूर्ण सङ्ख्या	Mathematics	Numbers	Other Numbers	
7M13	126	12	chapter	Whole Figures	पूर्णाङ्क	Mathematics	Numbers	Natural	
7M14	138	5	chapter	Proportional	आनुपातिक सङ्ख्या	Mathematics	Numbers	Other Numbers	
7M15	143	1	chapter	Proportionate Numbers	अनानूपातिक सङ्‌ख्या	Mathematics	Numbers	Other Numbers	
7M16	144	5	chapter	Different and Decimal	भिन्‍न र दशमलव	Mathematics	Arithmetic	Other Arithmetic	
7M17	149	8	chapter	Proportion, Proportionate  and Percentage	अनुपात र समानुपात र प्रतिशत	Mathematics	Arithmetic	Rates & Ratios	
7M18	157	4	chapter	Profit and Loss	नाफा र नोक्सान	Mathematics	Arithmetic	Other Arithmetic	
7M19	161	4	chapter	Unitary Rule	ऐकिक नियम	Mathematics	Arithmetic	Unitary Method	
7M20	165	4	chapter	Simple Interest	साधारण ब्याज	Mathematics	Arithmetic	Other Arithmetic	
7M21	169	14	chapter	Statistical Science	तथ्याङ्क शास्‍‌त्र	Mathematics	Applied Mathematics	Statistics	
7M22	183	19	chapter	Algebraic Expression	बीजीय अभिव्यञ्‍जक	Mathematics	Algebra	Expressions	
7M23	202	6	chapter	Statistics	घाताङ्क	Mathematics	Algebra	Other Algebra	
7M24	208	18	chapter	Reviewer, Inequality and Accounting	समीकरण, असमानता र लेखाचित्र	Mathematics	Other Mathematics	Graphs	
7M25	226	10	chapter	Answer Sheets	उत्तर माला	Mathematics			
8M01	6	9	chapter	Line and Angle	रेखा र कोण	Mathematics	Geometry	Shapes	Angle
8M02	15	17	chapter	Triangle, Quadrilateral and Polygons	त्रिभुज, चतुर्भुज र बहुभुजहरू	Mathematics	Geometry	Shapes	Triangle
8M03	32	11	chapter	Congruence and Similarity of Triangles	त्रिभुजको अनुरूपता र समरूपता	Mathematics	Geometry	Shapes	Symmetry
8M04	43	7	chapter	Circle	वृत्त	Mathematics	Geometry	Shapes	Circle
8M05	50	5	chapter	Solid Shapes	ठोस आकृतिहरू	Mathematics	Geometry	Shapes	Solids
8M06	55	7	chapter	Co-ordinates	निर्देशाङ्कहरू	Mathematics	Geometry	Other Geometry	
8M07	62	11	chapter	Area and Volume	क्षेत्रफल र आयतन	Mathematics	Measurement	Perimeter	
8M08	73	9	chapter	Transformation	स्थानान्तरण	Mathematics	Geometry	Construction	
8M09	82	6	chapter	Bearing and Scale Drawing	दिशास्थिति र स्केल ड्रइङ	Mathematics	Geometry	Other Geometry	Polar Coordinates
8M10	88	10	chapter	Sets	समूह	Mathematics	Numbers	Sets	
8M11	98	7	chapter	Whole Numbers	पूर्ण सङ्ख्याहरू	Mathematics	Numbers		
8M12	105	4	chapter	Integers	पूर्णाङ्कहरू	Mathematics	Numbers		
8M13	109	6	chapter	Rational Numbers	आनुपातिक सङ्ख्याहरू	Mathematics	Numbers		
8M14	115	9	chapter	Real Numbers	वास्तविक सङ्ख्याहरू	Mathematics	Numbers		
8M15	124	10	chapter	Ratio, Proportion and Percentage	अनुपात, समानुपात र प्रतिशत	Mathematics	Arithmetic	Rates & Ratios	
8M16	134	7	chapter	Profit and Loss	नाफा र नोक्सान	Social Studies	Economy	Business	Economics
8M17	141	5	chapter	Unitary Method	ऐकिक नियम	Mathematics	Arithmetic	Unitary Method	
8M18	146	7	chapter	Simple Interest	साधारण ब्याज	Mathematics	Arithmetic	Rates & Ratios	
8M19	153	13	chapter	Statistics	तथ्याङ्क शास्त्र	Mathematics	Applied Mathematics	Statistics	
8M20	166	27	chapter	Algebraic Expressions	बीजीय अभिव्यञ्जकहरू	Mathematics	Algebra	Expressions	
8M21	193	5	chapter	Indices	घाताङ्क	Mathematics	Applied Mathematics	Statistics	
8M22	198	35	chapter	Equation, inequalities and Graph	समीकरण, असमानता र लेखाचित्र	Mathematics	Other Mathematics	Graphs	
8M23	215	18		Answers	उत्तरमाला				
