dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft														
Earth moves around the Sun	पृथ्वी सूर्यको वरिपरि घुम्छ	8SS07.01	7SS07.01				6	10	both	Science	Astronomy	Solar System	Earth	Earth_moves_around_the_Sun.mp4		video														
Eid in Chechnya		7SS02.03					5	10	both	Social Studies	Beliefs	Religions	Islam			image														
Eid in India		7SS02.04					4	10	both	Social Studies	Beliefs	Religions	Islam			image														
Election of Nepal		7SS03.02					5	10	both	Social Studies	Issues	Human Rights	Other Human Rights			image														
Embassy of Nepal	नेपाल दूतावास	8SS09.01					6	10	both	Social Studies	Geography	Asia	Nepal	Embassy_of_Nepal.jpg		image														
Erasmus	इरामस	8SS05.08					7	10	both	Social Studies	History	People		Erasmus.jpg		image														
Firestorm		7SS07.08	8SS07.03				5	8	both	Science	Earth	Natural Disasters	Fire			video														
Friends together		7SS02.01					3	10	both	Social Studies	Community	People				image														
Fruits and Veggies		7SS06.04					5	10	both	Science	Biology	Plants	Vegetable			image														
Gaijatra		7SS05.03					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image														
Gender equality 2		7SS02.01	7SS04.02				4	10	both	Social Studies	Issues	Other Issues				image														
Ghiberti	गिवर्टी	8SS05.08					7	10	both	Social Studies	History	People		Ghiberti.jpg		image														
Glacier Landscape		7SS07.03					5	10	both	Science	Earth	Oceans & Water				image														
Greenery in Sinja Valley		7SS05.07	7SS07.02				7	9	both	Social Studies	History	Nepal	Geography			image														
Haat Bazaar		7SS01.02					3	10	both	Social Studies	Economy	Business	Market			image														
haystack and farm house		7SS07.04					4	10	both	Social Studies	Community	Everyday Life	Dwellings			image														
High Court	उच्च अदालत	8SS03.04					7	10	both	Social Studies	Community	Social Organization	Laws	High_Court.jpg		image														
Hindu Ceremony		7SS02.03					5	10	both	Social Studies	Community	Everyday Life	Customs			image														
Hospital		7SS01.03					4	8	both	Social Studies	Community	Social Organization	Health Care			image														
House of Parliament		7SS03.01					5	10	both	Social Studies	History	Modern				image														
Household Buddha Celebration		7SS02.04					5	10	both	Social Studies	Community	Everyday Life	Customs			image														
Inclusion	समावेशीकरण	8SS03.05					7	10	both	Social Studies	Community	Everyday Life	Cooperation	Inclusion.jpg		image														
IndraJatra		7SS05.03					4	8	both	Social Studies	Beliefs	Religions	Hinduism			image														
Janai Purnima Festival		7SS02.04					4	9	both	Social Studies	Community	Everyday Life	Celebrations			image														
Karnali River		7SS06.02	7SS07.03				5	10	both	Science	Earth	Oceans & Water	River			image														
KELUDCLEAN		7SS04.04					4	10	both	Science	Earth	Human Impact	Waste & Recycling			image														
King Prithvi Narayan Shah		7SS05.06					4	9	both	Social Studies	History	Nepal	Famous Persons			image														
Law Firm		7SS04.03					6	10	both	Social Studies	Economy	Law				image														
Mahendra Highway	महेन्द्र राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Mahendra_Highway.jpg		image														
Martyrs	सहिदहरू	8SS05.04					6	10	both	Social Studies	History	Nepal	Famous Persons	Martyrs.jpg		image														
Mid-Hills in Nepal		7SS07.06					5	10	both	Social Studies	Geography	Asia	Nepal			image														
Ministry of Federal Affairs and Local Development	सङ्घीय मामिला तथा स्थानीय विकास मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Federal_Affairs_and_Local_Development.jpg		image														
Ministry of Finance	अर्थ मन्त्रालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Ministry_of_Finance.jpg		image														
native dance music		7SS02.05					4	10	both	Social Studies	Arts	Dance	Folk Dance			video														
Nepal flag		7SS02.07					1	12	both	Social Studies	Community	Government	National			image														
Nepal Map		7SS03.01	7SS07.07				5	10	both	Social Studies	Geography	Asia	Nepal			map														
Nepal Mountain		7SS07.06					4	10	both	Social Studies	Geography	Asia	Nepal			image														
Nepal Rastra Bank	नेपाल राष्ट्र बैंक	8SS06.02					6	10	both	Social Studies	Economy	Business	Currency & Money	Nepal_Rastra_Bank.jpg		image														
Nepalese policeman		7SS03.07	7SS03.02				4	8	both	Social Studies	Community	People				image														
Nepali Folk Dance		7SS02.05					4	8	both	Language	Nepali	Form	Song			video														
Nepali National Anthem		7SS02.07					1	12	np	Language	Nepali	Form	Song			video														
Newar house 2		7SS07.04					5	10	both	Social Studies	Community	Other Community				image														
Newars Dance In Patan 1		7SS02.06					4	10	both	Social Studies	Arts	Dance	Folk Dance			image														
North American Grasslands		7SS07.02					5	10	both	Social Studies	Geography	North America				image														
Old Nepal 00147		7SS03.02					5	9	both	Social Studies	Geography	Asia	Nepal			image														
Old Nepal 00172		7SS06.02					4	10	both	Social Studies	Economy	Agriculture				image														
Old Nepali Coins	पुराना नेपाली सिक्काहरू	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Coins.jpg		image														
Old Nepali Note	पुरानो नेपाली नोट	8SS06.01					6	9	both	Social Studies	History	Nepal	Symbols	Old_Nepali_Note.jpg		image														
Online news resources		7SS09.03					4	9	both	Social Studies	Community	Education	Other Education			image														
Panche Baaja		7SS02.05					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image														
Parma In Nepal		7SS06.01					5	9	both	Social Studies	Economy	Agriculture				image														
Pashupatinath		7SS03.02					4	10	both	Social Studies	Community	Everyday Life	Religious Sites			image														
Pen and Paper		7SS06.04					1	10	both	Social Studies	Community	Everyday Life	Possessions			image														
phone		7SS09.03					4	10	both	Science	Technology	Electrical	Electronics			image														
Plateau		7SS07.02					6	9	both	Social Studies	Geography	Landforms				image														
Pollution in Kathmandu's Bagmati River		7SS08.03					4	10	both	Science	Earth	Human Impact	Pollution			image														
Prime Minister's Office	प्रधानमन्त्रीको कार्यालय	8SS03.03					6	10	both	Social Studies	Community	Government	National	Prime_Minister's_Office.jpg		image														
Prithvi Narayan Shah		7SS02.07					4	10	both	Social Studies	History	Nepal	Famous Persons			image														
Protest	विरोध प्रदर्शन	8SS04.05	7SS04.05				6	10	both	Social Studies	Issues	Conflict		Protest.jpg		image														
Rain		7SS07.05					4	10	both	Science	Earth	Climate	Rain			image														
Religious Tolerance		7SS02.01					4	10	both	Social Studies	Issues	Solutions				image														
Road Construction		7SS03.06					5	8	both	Social Studies	Community	Social Organization	Infrastructure			image														
rule		7SS04.03					3	10	both	Social Studies	Community	Education	Environment			image														
Sakela Ritual of Kirat		7SS02.03					6	10	both	Social Studies	Beliefs	Religions	Other Religions			image														
Sarangi instrument		7SS02.09					4	10	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments			image														
School girls		7SS03.05					4	8	both	Social Studies	Community	Education	Girls			image														
Shahid Gate	सहिद गेट	8SS05.04					6	10	both	Social Studies	History	Nepal	History	Shahid_Gate.jpg		image														
Smart Phone		7SS09.03					4	10	both	Science	Technology	Electrical	Electronics			image														
Social Media		7SS09.03					5	9	both	Science	IT	Internet				image														
Spenser	स्पेन्सर	8SS05.08					7	10	both	Social Studies	History	People		Spenser.jpg		image														
Stone age		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History			image														
Stone Age People Home		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History			image														
Stone Age tools		7SS01.01					6	9	both	Social Studies	History	Ancient	Other Ancient History			image														
Students and Mountains		7SS04.04					4	10	both	Social Studies	Community	Everyday Life	Other Everyday Life			image														
Students celebrate inauguration		7SS04.03					4	10	both	Social Studies	Community	Everyday Life	Celebrations			image														
Studying with Friends		7SS04.03					3	8	both	Social Studies	Community	Education				image														
Supreme Court of Nepal	नेपालको सर्वोच्च अदालत	8SS03.04	8SS01.04				6	10	both	Social Studies	Community	Social Organization	Laws	Supreme_Court_of_Nepal.jpg		image														
Tea Garden of Ilam		7SS06.01					5	10	both	Social Studies	Economy	Agriculture	Farming			image														
Team work		7SS02.01					4	10	both	Social Studies	Community	Everyday Life	Cooperation			image														
Teej		7SS02.05					4	9	both	Social Studies	Community	Everyday Life	Customs			image														
Television		7SS09.03					3	9	both	Science	Technology	Electrical	Electronics			image														
Terai sunset purple		7SS07.06					5	10	both	Social Studies	Geography	Landforms				image														
The 18th SAARC Summit	१८औँ सार्क शिखर सम्मेलन	8SS07.05					6	10	both	Social Studies	Geography	Asia	Nepal	The_18th_SAARC_Summit.jpg		image														
thunderstorm		7SS07.09					5	9	both	Science	Earth	Natural Disasters	Other Natural Disasters			image														
Ubhauli Sakela Fest Observed		7SS01.02	7SS02.04				4	9	both	Social Studies	Community	Everyday Life	Celebrations			image														
Use of Information	सूचनाको प्रयोग	8SS03.07					6	10	both	Social Studies	Issues	Human Rights	Other Human Rights	Use_of_Information.jpg		image														
volcano		7SS07.02	7SS07.03				5	10	both	Science	Earth	Natural Disasters	Volcanoes			image														
"Winter Wonderland, Nepal"		7SS07.05					5	10	both	Social Studies	Geography	Asia	Nepal			image														
World Cup 2022 Winner	विश्वकप २०२२ फाइनल विजेता	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_2022_Winner.jpg		image														
World Cup Trophy	विश्वकप ट्रफी	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_Trophy.jpg		image														
Yamari		7SS02.06					3	10	both	Social Studies	Community	Everyday Life	Customs			image														
नक्सामा प्रयोग हुने सङ्केतहरू		7SS07.10					4	7	np	Social Studies	Geography	Maps				video														
न्यायपालिकाको परिचय र गठन प्रक्रिया	न्यायपालिकाको परिचय र गठन प्रक्रिया	8SS03.04					7	10	np	Social Studies	Community	Social Organization	Laws		न्यायपालिकाको_परिचय_र_गठन_प्रक्रिया.jpg	image														
8SS03.04 न्यायपालिका	8SS03.04 न्यायपालिका	8SS03.04					8	8	np	Social Studies	Community	Social Organization	Laws		8SS03.04_न्यायपालिका.json	game														
8SS03.04 न्यायपालिकाको परिचय र अदालतको गठन	8SS03.04 न्यायपालिकाको परिचय र अदालतको गठन	8SS03.04					8	8	np	Social Studies	Community	Social Organization	Laws		8SS03.04_न्यायपालिकाको_परिचय_र_अदालतको_गठन.json	game														
सकारात्मक भेद	सकारात्मक भेद	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation		सकारात्मक_भेद.jpg	image														
समावेशीकरणको परिचय	समावेशीकरणको परिचय	8SS03.05					8	10	np	Social Studies	Community	Everyday Life	Cooperation		समावेशीकरणको_परिचय.jpg	image														
8SS03.05 विभिन्‍न जाति र समुदायको भाषिक तथा धार्मिक पहिचान	8SS03.05 विभिन्‍न जाति र समुदायको भाषिक तथा धार्मिक पहिचान	8SS03.05					8	8	np	Social Studies	Community	Other Community			8SS03.05_विभिन्‍न_जाति_र_समुदायको_भाषिक_तथा_धार्मिक_पहिचान.json	game														
सुशासन	सुशासन	8SS03.07					8	10	np	Social Studies	Community	Government			सुशासन.jpg	image														
बाल मजदुर	बाल मजदुर	8SS04.01					6	10	np	Social Studies	Issues	Human Rights	Slavery		बाल_मजदुर.mp4	video														
दाइजो प्रथा न्युनिकरण	दाइजो प्रथा न्युनिकरण	8SS04.01					6	10	np	Social Studies	Issues	Other Issues			दाइजो_प्रथा_न्युनिकरण.mp4	video														
8SS04.02 सामाजिक समस्या	8SS04.02 सामाजिक समस्या	8SS04.02					8	8	np	Social Studies	Issues	Other Issues			8SS04.02_सामाजिक_समस्या.json	game														
8SS04.04 सामाजिक समस्या र अन्तर्राष्ट्रिय सङ्घसंस्थाको भूमिका	8SS04.04 सामाजिक समस्या र अन्तर्राष्ट्रिय सङ्घसंस्थाको भूमिका	8SS04.04					8	8	np	Social Studies	Community	Social Organization	Non-Profits		8SS04.04_सामाजिक_समस्या_र_अन्तर्राष्ट्रिय_सङ्घसंस्थाको_भूमिका.json	game														
8SS05.01 नेपालको नामकरण: अर्थ र आधार	8SS05.01 नेपालको नामकरण: अर्थ र आधार	8SS05.01					7	8	np	Social Studies	History	Nepal			8SS05.01_नेपालको_नामकरण_अर्थ_र_आधार.json	game														
गोपाल वंश	गोपाल वंश	8SS05.02					7	8	np	Social Studies	History	Nepal			गोपाल_वंश.pdf	pdf														
किराँत जाति	किराँत जाति	8SS05.02					7	8	np	Social Studies	Beliefs	Religions	Other Religions		किराँत_जाति.pdf	pdf														
प्राचीन समय र वर्तमान समयको आर्थिक क्रियाकलापबिच तुलना	प्राचीन समय र वर्तमान समयको आर्थिक क्रियाकलापबिच तुलना	8SS05.02					7	9	np	Social Studies	Community	Everyday Life	Other Everyday Life		प्राचीन_समय_र_वर्तमान_समयको_आर्थिक_क्रियाकलापबिच_तुलना.jpg	image														
"महिषपाल, गोपाल र किराँत वंशका प्रथम र अन्तिम राजाहरूको नाम"	"महिषपाल, गोपाल र किराँत वंशका प्रथम र अन्तिम राजाहरूको नाम"	8SS05.02					7	8	np	Social Studies	History	Nepal	History		महिषपाल_गोपाल_र_किराँत_वंशका_प्रथम_र_अन्तिम_राजाहरूको_नाम.jpg	image														
काठमाडौं उपत्यकाको सभ्यता	काठमाडौं उपत्यकाको सभ्यता	8SS05.03					7	9	np	Social Studies	History	Nepal	History		काठमाडौं_उपत्यकाको_सभ्यता.jpg	image														
प्रथम सहिद लखन थापा	प्रथम सहिद लखन थापा	8SS05.04					7	9	np	Social Studies	History	Nepal	Famous Persons		प्रथम_सहिद_लखन_थापा.mp4	video														
8SS05.04 सहिदको सम्मान र प्रेरणा	8SS05.04 सहिदको सम्मान र प्रेरणा	8SS05.04					8	8	np	Social Studies	History	Nepal	Famous Persons		8SS05.04_सहिदको_सम्मान_र_प्रेरणा.json	game														
8SS05.05 लोकतान्त्रिक गणतन्त्र	8SS05.05 लोकतान्त्रिक गणतन्त्र	8SS05.05					8	8	np	Social Studies	History	Nepal	Government		8SS05.05_लोकतान्त्रिक_गणतन्त्र.json	game														
8SS05.05 राजतन्त्र र गणतन्त्र बीचको भिन्‍नता	8SS05.05 राजतन्त्र र गणतन्त्र बीचको भिन्‍नता	8SS05.05					8	8	np	Social Studies	History	Nepal	Government		8SS05.05_राजतन्त्र_र_गणतन्त्र_बीचको_भिन्‍नता.json	game														
8SS05.06 ग्रीस र रोमको सभ्यताको प्रभाव	8SS05.06 ग्रीस र रोमको सभ्यताको प्रभाव	8SS05.06					8	8	np	Social Studies	History	Politics	Other Politics		8SS05.06_ग्रीस_र_रोमको_सभ्यताको_प्रभाव.json	game														
8SS06.01 मौद्रिक कारोबार	8SS06.01 मौद्रिक कारोबार	8SS06.01					8	8	np	Social Studies	Economy	Business	Currency & Money		8SS06.01_मौद्रिक_कारोबार.json	game														
8SS06.02 स्थानीय साहुमहाजनबाट भन्दा वित्तीय संस्थासँग कारोबार गर्दा हुने फाइदा	8SS06.02 स्थानीय साहुमहाजनबाट भन्दा वित्तीय संस्थासँग कारोबार गर्दा हुने फाइदा	8SS06.02					8	8	np	Social Studies	Economy	Finance			8SS06.02_स्थानीय_साहुमहाजनबाट_भन्दा_वित्तीय_संस्थासँग_कारोबार_गर्दा_हुने_फाइदा.json	game														
8SS06.03 नेपालमा पर्यटन उद्योग	8SS06.03 नेपालमा पर्यटन उद्योग	8SS06.03					8	8	np	Social Studies	Economy	Tourism			8SS06.03_नेपालमा_पर्यटन_उद्योग.json	game														
8SS06.04 वैदेशिक व्यापारका समस्या र समाधान	8SS06.04 वैदेशिक व्यापारका समस्या र समाधान	8SS06.04					8	8	np	Social Studies	Economy	Business	Other Business		8SS06.04_वैदेशिक_व्यापारका_समस्या_र_समाधान.json	game														
8SS06.04 वैदेशिक व्यापारको परिचय र महत्त्व	8SS06.04 वैदेशिक व्यापारको परिचय र महत्त्व	8SS06.04					8	8	np	Social Studies	Economy	Business	Other Business		8SS06.04_वैदेशिक_व्यापारको_परिचय_र_महत्त्व.json	game														
नेपालीहरू वैदेशिक रोजगारीमा जाने कारणहरू	नेपालीहरू वैदेशिक रोजगारीमा जाने कारणहरू	8SS06.05					7	9	np	Social Studies	Issues	Other Issues			नेपालीहरू_वैदेशिक_रोजगारीमा_जाने_कारणहरू.jpg	image														
वैदेशिक रोजगारीका अवसर र चुनौतीहरू	वैदेशिक रोजगारीका अवसर र चुनौतीहरू	8SS06.05					7	9	np	Social Studies	Issues	Other Issues			वैदेशिक_रोजगारीका_अवसर_र_चुनौतीहरू.jpg	image														
सुरक्षित वैदेशिक रोजगारीका लागि सुझाव	सुरक्षित वैदेशिक रोजगारीका लागि सुझाव	8SS06.05					7	9	np	Social Studies	Economy	Business	Studies		सुरक्षित_वैदेशिक_रोजगारीका_लागि_सुझाव.jpg	image														
पृथ्वीको दैनिक र वार्षिक गतिका प्रभाव	पृथ्वीको दैनिक र वार्षिक गतिका प्रभाव	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth		पृथ्वीको_दैनिक_र_वार्षिक_गतिका_प्रभाव.jpg	image														
पृथ्वीको अक्षको झुकाव	पृथ्वीको अक्षको झुकाव	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth		पृथ्वीको_अक्षको_झुकाव.jpg	image														
पृथ्वीको परिक्रमण	पृथ्वीको परिक्रमण	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth		पृथ्वीको_परिक्रमण.jpg	image														
जलवायु परिवर्तनको असर न्यूनीकरणका उपाय	जलवायु परिवर्तनको असर न्यूनीकरणका उपाय	8SS07.03					7	9	np	Science	Earth	Human Impact	Conservation		जलवायु_परिवर्तनको_असर_न्यूनीकरणका_उपाय.jpg	image														
8SS08.02 जनगणना २०७८ तथ्याङ्क परीक्षण	8SS08.02 जनगणना २०७८ तथ्याङ्क परीक्षण	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनगणना_२०७८_तथ्याङ्क_परीक्षण.json	game														
8SS08.02 जनसङ्ख्या बनोटका विविध आधार	8SS08.02 जनसङ्ख्या बनोटका विविध आधार	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्या_बनोटका_विविध_आधार.json	game														
8SS08.02 जनसङ्ख्याको बनोटले सामाजिक र आर्थिक जनजीवनमा पार्ने प्रभाव	8SS08.02 जनसङ्ख्याको बनोटले सामाजिक र आर्थिक जनजीवनमा पार्ने प्रभाव	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्याको_बनोटले_सामाजिक_र_आर्थिक_जनजीवनमा_पार्ने_प्रभाव.json	game														
8SS08.03 भौगोलिक क्षेत्र र प्रदेशअनुसार जनसङ्ख्या वितरण	8SS08.03 भौगोलिक क्षेत्र र प्रदेशअनुसार जनसङ्ख्या वितरण	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_भौगोलिक_क्षेत्र_र_प्रदेशअनुसार_जनसङ्ख्या_वितरण.json	game														
8SS08.03 जनघनत्वको परिचय र अवस्था	8SS08.03 जनघनत्वको परिचय र अवस्था	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_जनघनत्वको_परिचय_र_अवस्था.json	game														
बसाइँसराइले पारेको प्रभाव	बसाइँसराइले पारेको प्रभाव	8SS08.04					7	9	np	Social Studies	Community	Other Community			बसाइँसराइले_पारेको_प्रभाव.jpg	image														
बसाइँसराइका कारक तत्वहरू	बसाइँसराइका कारक तत्वहरू	8SS08.04					7	9	np	Social Studies	Community	Other Community			बसाइँसराइका_कारक_तत्वहरू.jpg	image														
नेपाली राजदूतावास रहेका देशहरू	नेपाली राजदूतावास रहेका देशहरू	8SS09.01					8	9	np	Social Studies	Community	Other Community			नेपाली_राजदूतावास_रहेका_देशहरू.jpg	image														
कूटनीतिक नियोगको परिचय	कूटनीतिक नियोगको परिचय	8SS09.01					8	9	np	Social Studies	Community	Other Community			कूटनीतिक_नियोगको_परिचय.jpg	image														
बिमस्टेकको उ‌द्देश्य	बिमस्टेकको उ‌द्देश्य	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेकको_उ‌द्देश्य.jpg	image														
बिमस्टेक र सदस्य राष्ट्र	बिमस्टेक र सदस्य राष्ट्र	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेक_र_सदस्य_राष्ट्र.jpg	image														
बिमस्टेकबाट नेपालले प्राप्त गरेका उपलब्धि	बिमस्टेकबाट नेपालले प्राप्त गरेका उपलब्धि	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेकबाट_नेपालले_प्राप्त_गरेका_उपलब्धि.jpg	image														
साइबर अपराधअन्तर्गत पर्ने क्रियाकलाप	साइबर अपराधअन्तर्गत पर्ने क्रियाकलाप	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधअन्तर्गत_पर्ने_क्रियाकलाप.jpg	image														
साइबर अपराधको उजुरी दिने प्रक्रिया	साइबर अपराधको उजुरी दिने प्रक्रिया	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधको_उजुरी_दिने_प्रक्रिया.jpg	image														
साइबर अपराध विरुद्ध सचेत रहने उपाय	साइबर अपराध विरुद्ध सचेत रहने उपाय	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराध_विरुद्ध_सचेत_रहने_उपाय.jpg	image														
साइबर अपराधका कानुनी व्यवस्था	साइबर अपराधका कानुनी व्यवस्था	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधका_कानुनी_व्यवस्था.jpg	image														
8SS09.04 नेपालमा साइबर अपराध नियन्त्रण	8SS09.04 नेपालमा साइबर अपराध नियन्त्रण	8SS09.04					8	8	np	Social Studies	Issues	Other Issues			8SS09.04_नेपालमा_साइबर_अपराध_नियन्त्रण.json	game														
डेंगुबाट बच्‍ने उपायहरू	डेंगुबाट बच्‍ने उपायहरू	8SS09.05					7	9	np	Science	Medicine	Disease & Injury	Other Disease		डेंगुबाट_बच्‍ने_उपायहरू.jpg	image														
8SS09.05 डेंगु रोगबाट बच्‍ने उपाय	8SS09.05 डेंगु रोगबाट बच्‍ने उपाय	8SS09.05					8	8	np	Science	Medicine	Disease & Injury	Other Disease		8SS09.05_डेंगु_रोगबाट_बच्‍ने_उपाय.json	game														
विश्वकप फुटबलको सङ्क्षिप्त इतिहास	विश्वकप फुटबलको सङ्क्षिप्त इतिहास	8SS09.05					7	9	np	Social Studies	Community	Sports	Football		विश्वकप_फुटबलको_सङ्क्षिप्त_इतिहास.jpg	image														
8SS09.05 विश्व कप फुटबल	8SS09.05 विश्व कप फुटबल	8SS09.05					8	8	np	Social Studies	Community	Sports	Football		8SS09.05_विश्व_कप_फुटबल.json	game														
8SS09.05 कोप–२७ सम्मेलन	8SS09.05 कोप–२७ सम्मेलन	8SS09.05					8	8	np	Social Studies	Issues	Solutions			8SS09.05_कोप_२७_सम्मेलन.json	game														
